x,observed_switching_survival,switching_gaussian_survival,switching_student_t_survival,best_gaussian_model,best_student_t_model
2.8494536083895237,1.0,0.9083519426409304,0.8730307275202183,M1,M3
2.8752730503178117,1.0,0.9061061237395409,0.870774377781077,M1,M3
2.9010924922460997,1.0,0.9038199455491954,0.8684674189146009,M1,M3
2.9269119341743877,1.0,0.9014931083101058,0.866108670432173,M1,M3
2.9527313761026757,1.0,0.8991253219322638,0.8636969327208842,M1,M3
2.9785508180309637,1.0,0.8967163063270334,0.8612309876260779,M1,M3
3.0043702599592517,0.9090909090909091,0.8942657917372008,0.8587095991295137,M1,M3
3.0301897018875397,0.9090909090909091,0.8917735190651499,0.8561315141300939,M1,M3
3.0560091438158277,0.9090909090909091,0.8892392401988269,0.8534954633343619,M1,M3
3.0818285857441157,0.9090909090909091,0.886662718335157,0.8508001622642307,M1,M3
3.1076480276724037,0.9090909090909091,0.8840437283005713,0.8480443123896354,M1,M3
3.1334674696006917,0.9090909090909091,0.8813820568683013,0.8452266023940056,M1,M3
3.1592869115289797,0.9090909090909091,0.8786775030720918,0.8423457095806337,M1,M3
3.1851063534572677,0.9090909090909091,0.8759298785159884,0.8394003014281552,M1,M3
3.2109257953855557,0.9090909090909091,0.8731390076798475,0.8363890373034577,M1,M3
3.2367452373138437,0.9090909090909091,0.8703047282202198,0.8333105703403761,M1,M3
3.2625646792421317,0.9090909090909091,0.867426891266257,0.8301635494925348,M1,M3
3.2883841211704197,0.9090909090909091,0.8645053617102918,0.8269466217686092,M1,M3
3.3142035630987077,0.9090909090909091,0.8615400184927389,0.8236584346581384,M1,M3
3.3400230050269957,0.9090909090909091,0.8585307548809706,0.8202976387557779,M1,M3
3.3658424469552837,0.9090909090909091,0.8554774787418173,0.8168628905915567,M1,M3
3.3916618888835717,0.9090909090909091,0.8523801128073483,0.8133528556742671,M1,M3
3.4174813308118597,0.9090909090909091,0.849238594933588,0.8097662117545602,M1,M3
3.4433007727401477,0.9090909090909091,0.8460528783518269,0.8061016523136519,M1,M3
3.4691202146684357,0.9090909090909091,0.8428229319121912,0.8023578902827213,M1,M3
3.4949396565967237,0.9090909090909091,0.8395487403191345,0.7985336619971243,M1,M3
3.5207590985250117,0.9090909090909091,0.8362303043585251,0.7946277313884236,M1,M3
3.5465785404532997,0.9090909090909091,0.8328676411160005,0.7906388944159474,M1,M3
3.5723979823815877,0.9090909090909091,0.8294607841862728,0.786565983738114,M1,M3
3.5982174243098757,0.9090909090909091,0.8260097838730684,0.78240787362212,M1,M3
3.6240368662381637,0.9090909090909091,0.822514707379395,0.7781634850887255,M1,M3
3.6498563081664517,0.9090909090909091,0.8189756389878345,0.7738317912868466,M1,M3
3.6756757500947397,0.9090909090909091,0.8153926802305684,0.7694118230904078,M1,M3
3.7014951920230277,0.9090909090909091,0.8117659500488472,0.7649026749074762,M1,M3
3.7273146339513157,0.9090909090909091,0.808095584941628,0.7603035106890635,M1,M3
3.7531340758796037,0.9090909090909091,0.8043817391031068,0.7556135701221464,M1,M3
3.7789535178078917,0.9090909090909091,0.8006245845488885,0.7508321749884728,M1,M3
3.8047729597361797,0.9090909090909091,0.7968243112305381,0.7459587356675377,M1,M3
3.8305924016644677,0.9090909090909091,0.7929811271382767,0.7409927577588183,M1,M3
3.8564118435927557,0.9090909090909091,0.7890952583915853,0.7359338487949363,M1,M3
3.8822312855210437,0.8181818181818182,0.7851669493175,0.7307817250138928,M1,M3
3.9080507274493317,0.8181818181818182,0.7811964625163847,0.7255362181549856,M1,M3
3.9338701693776197,0.7272727272727273,0.777184078914988,0.7201972822394404,M1,M3
3.9596896113059077,0.7272727272727273,0.7731300978065916,0.714765000293271,M1,M3
3.9855090532341957,0.7272727272727273,0.7690348368780815,0.7092395909664686,M1,M3
4.011328495162484,0.7272727272727273,0.7648986322237775,0.7036214149993464,M1,M3
4.037147937090772,0.7272727272727273,0.7607218383458718,0.6979109814838275,M1,M3
4.06296737901906,0.7272727272727273,0.7565048281413438,0.6921089538647147,M1,M3
4.088786820947348,0.7272727272727273,0.7522479928752259,0.6862161556235891,M1,M3
4.114606262875636,0.7272727272727273,0.7479517421401152,0.6802335755860398,M1,M3
4.140425704803924,0.7272727272727273,0.7436165038018354,0.6741623727914918,M1,M3
4.166245146732212,0.7272727272727273,0.7392427239311685,0.6680038808640568,M1,M3
4.1920645886605,0.6363636363636364,0.7348308667215948,0.6617596118226423,M1,M3
4.217884030588788,0.6363636363636364,0.7303814143929862,0.6554312592691114,M1,M3
4.243703472517076,0.5454545454545454,0.7258948670812222,0.6490207008946103,M1,M3
4.269522914445364,0.5454545454545454,0.7213717427137056,0.6425300002463672,M1,M3
4.295342356373652,0.5454545454545454,0.7168125768707748,0.6359614077003277,M1,M3
4.32116179830194,0.5454545454545454,0.7122179226330227,0.6293173605889634,M1,M3
4.346981240230228,0.5454545454545454,0.707588350414551,0.6226004824384888,M1,M3
4.372800682158516,0.5454545454545454,0.7029244477821979,0.6158135812755433,M1,M3
4.398620124086804,0.5454545454545454,0.6982268192608018,0.608959646970102,M1,M3
4.424439566015092,0.5454545454545454,0.6934960861245723,0.6020418475889542,M1,M3
4.45025900794338,0.5454545454545454,0.6887328861746584,0.5950635247424356,M1,M3
4.476078449871668,0.5454545454545454,0.6839378735030204,0.5880281879161677,M1,M3
4.501897891799956,0.5454545454545454,0.6791117182427251,0.580939507789213,M1,M3
4.527717333728244,0.5454545454545454,0.6742551063048038,0.5738013085501957,M1,M3
4.553536775656532,0.5454545454545454,0.6693687391018242,0.5666175592333988,M1,M3
4.57935621758482,0.5454545454545454,0.6644533332583444,0.5593923641074983,M1,M3
4.605175659513108,0.5454545454545454,0.6595096203084354,0.552129952160247,M1,M3
4.630995101441396,0.5454545454545454,0.6545383463804679,0.5448346657328925,M1,M3
4.656814543369684,0.45454545454545453,0.6495402718693806,0.5375109483682496,M1,M3
4.682633985297972,0.45454545454545453,0.644516171096658,0.530163331945922,M1,M3
4.70845342722626,0.45454545454545453,0.6394668319582643,0.5227964231870467,M1,M3
4.734272869154548,0.45454545454545453,0.6343930555607877,0.5154148896189121,M1,M3
4.760092311082836,0.45454545454545453,0.6292956558460737,0.5080234450967385,M1,M3
4.785911753011124,0.45454545454545453,0.6241754592046308,0.5006268349856686,M1,M3
4.811731194939412,0.45454545454545453,0.6190333040781113,0.4932298211104708,M1,M3
4.8375506368677,0.45454545454545453,0.6138700405511806,0.4858371665835257,M1,M3
4.863370078795988,0.45454545454545453,0.6086865299331032,0.47845362062328034,M1,M3
4.889189520724276,0.45454545454545453,0.6034836443293858,0.4710839034754796,M1,M3
4.915008962652564,0.45454545454545453,0.5982622662038285,0.4637326915481242,M1,M3
4.940828404580852,0.45454545454545453,0.5930232879313496,0.45640460286827583,M1,M3
4.96664784650914,0.45454545454545453,0.5877676113419605,0.4491041829646075,M1,M3
4.992467288437428,0.45454545454545453,0.5824961472562763,0.44183589127405054,M1,M3
5.018286730365716,0.45454545454545453,0.5772098150129596,0.4346040881641417,M1,M3
5.044106172294004,0.45454545454545453,0.5719095419885077,0.42741302265486353,M1,M3
5.069925614222292,0.45454545454545453,0.5665962631097965,0.42026682091503215,M1,M3
5.09574505615058,0.45454545454545453,0.5612709203598114,0.4131694755988184,M1,M3
5.121564498078868,0.45454545454545453,0.5559344622769975,0.4061248360779341,M1,M3
5.147383940007156,0.45454545454545453,0.5505878434486743,0.39913659961458936,M1,M3
5.173203381935444,0.45454545454545453,0.5452320239989635,0.3922083035096884,M1,M3
5.199022823863732,0.45454545454545453,0.5398679690716901,0.3853433182500751,M1,M3
5.22484226579202,0.45454545454545453,0.5344966483087181,0.3785448416681279,M1,M3
5.250661707720308,0.45454545454545453,0.5291190353241921,0.3718158941168053,M1,M3
5.276481149648596,0.45454545454545453,0.523736107175161,0.3651593146534884,M1,M3
5.302300591576884,0.45454545454545453,0.5183488438290599,0.35857775821680016,M1,M3
5.328120033505172,0.45454545454545453,0.5129582276285385,0.35207369377209885,M1,M3
5.35393947543346,0.45454545454545453,0.507565242754119,0.34564940339363703,M1,M3
5.379758917361748,0.45454545454545453,0.5021708746851754,0.3393069822445135,M1,M3
5.405578359290036,0.45454545454545453,0.4967761096597269,0.33304833940957856,M1,M3
5.431397801218324,0.45454545454545453,0.49138193413353637,0.3268751995313952,M1,M3
5.457217243146612,0.45454545454545453,0.4859893342390104,0.32078910519522635,M1,M3
5.4830366850749,0.45454545454545453,0.4805992952443955,0.3147914200058093,M1,M3
5.508856127003188,0.45454545454545453,0.47521280101376284,0.30888333229634624,M1,M3
5.534675568931476,0.45454545454545453,0.46983083346827786,0.30306585940866604,M1,M3
5.560495010859764,0.36363636363636365,0.46445437204924284,0.2973398524828388,M1,M3
5.586314452788052,0.36363636363636365,0.45908439318340505,0.29170600169458394,M1,M3
5.61213389471634,0.36363636363636365,0.45372186975101436,0.28616484187955443,M1,M3
5.637953336644628,0.36363636363636365,0.44836777055711535,0.28071675848491756,M1,M3
5.663772778572916,0.36363636363636365,0.4430230598065509,0.275361993790515,M1,M3
5.689592220501204,0.2727272727272727,0.43768869658315246,0.2701006533442124,M1,M3
5.715411662429492,0.2727272727272727,0.43236563433358605,0.2649327125587316,M1,M3
5.74123110435778,0.2727272727272727,0.4270548203563152,0.25985802342026487,M1,M3
5.767050546286068,0.2727272727272727,0.4217571952961392,0.25487632126240145,M1,M3
5.792869988214356,0.2727272727272727,0.4164736926447541,0.24998723156229166,M1,M3
5.818689430142644,0.2727272727272727,0.41120523824777944,0.24519027671948715,M1,M3
5.844508872070932,0.2727272727272727,0.40595274981868346,0.24048488278145075,M1,M3
5.87032831399922,0.2727272727272727,0.4007171364600314,0.2358703860832903,M1,M3
5.896147755927508,0.2727272727272727,0.39549929819247276,0.23134603977279322,M1,M3
5.921967197855796,0.2727272727272727,0.3903001254918733,0.22691102019527123,M1,M3
5.947786639784084,0.2727272727272727,0.3851204988349868,0.2225644331160629,M1,M3
5.973606081712372,0.2727272727272727,0.37996128825405184,0.21830531976171969,M1,M3
5.99942552364066,0.2727272727272727,0.3748233529006877,0.21413266266394096,M1,M3
6.025244965568948,0.2727272727272727,0.3697075406194499,0.21004539129317507,M1,M3
6.051064407497236,0.2727272727272727,0.3646146875313977,0.20604238747147158,M1,M3
6.076883849425524,0.2727272727272727,0.3595456176280095,0.20212249055664536,M1,M3
6.102703291353812,0.2727272727272727,0.35450114237577157,0.19828450239208825,M1,M3
6.1285227332821,0.2727272727272727,0.3494820603317521,0.19452719201863683,M1,M3
6.154342175210388,0.2727272727272727,0.34448915677045944,0.19084930014678983,M1,M3
6.180161617138676,0.2727272727272727,0.3395232033222667,0.18724954338924849,M1,M3
6.205981059066964,0.2727272727272727,0.33458495762367657,0.18372661825525502,M1,M3
6.231800500995252,0.2727272727272727,0.329675162979679,0.18027920490952365,M1,M3
6.25761994292354,0.2727272727272727,0.32479454803844643,0.1769059706997087,M1,M3
6.283439384851828,0.2727272727272727,0.31994382647858943,0.17360557345733826,M1,M3
6.309258826780116,0.2727272727272727,0.3151236967091885,0.17037666457799425,M1,M3
6.335078268708404,0.2727272727272727,0.31033484158279434,0.1672178918871976,M1,M3
6.360897710636692,0.18181818181818182,0.305577928121581,0.16412790229905327,M1,M3
6.38671715256498,0.18181818181818182,0.3008536072568143,0.16110534427514359,M1,M3
6.412536594493268,0.18181818181818182,0.2961625135817878,0.1581488700915165,M1,M3
6.438356036421556,0.18181818181818182,0.2915052651183586,0.1552571379218616,M1,M3
6.464175478349844,0.18181818181818182,0.286882463097202,0.15242881374513295,M1,M3
6.489994920278132,0.18181818181818182,0.28229469175188826,0.1496625730859633,M1,M3
6.51581436220642,0.18181818181818182,0.27774251812686546,0.14695710259623748,M1,M3
6.541633804134708,0.18181818181818182,0.27322649189942266,0.1443111014861483,M1,M3
6.567453246062996,0.18181818181818182,0.26874714521568543,0.14172328281297464,M1,M3
6.593272687991284,0.18181818181818182,0.2643049925406848,0.13919237463568138,M1,M3
6.619092129919572,0.18181818181818182,0.2599005305225218,0.13671712104327138,M1,M3
6.64491157184786,0.18181818181818182,0.25553423787063667,0.1342962830646192,M1,M3
6.670731013776148,0.18181818181818182,0.251206575248174,0.13192863946728675,M1,M3
6.696550455704436,0.18181818181818182,0.24691798517842212,0.12961298745257122,M1,M3
6.722369897632724,0.18181818181818182,0.24266889196528763,0.12734814325377783,M1,M3
6.748189339561012,0.18181818181818182,0.23845970162775237,0.12513294264442865,M1,M3
6.7740087814893,0.18181818181818182,0.2342908018482454,0.12296624136283851,M1,M3
6.799828223417588,0.18181818181818182,0.23016256193484697,0.12084691545920116,M1,M3
6.825647665345876,0.18181818181818182,0.2260753327972277,0.11877386157103578,M1,M3
6.851467107274164,0.18181818181818182,0.22202944693621285,0.11674599713255583,M1,M3
6.877286549202452,0.18181818181818182,0.21802521844684647,0.1147622605232349,M1,M3
6.90310599113074,0.18181818181818182,0.2140629430348172,0.11282161116055756,M1,M3
6.928925433059028,0.18181818181818182,0.21014289804609482,0.11092302954166652,M1,M3
6.954744874987316,0.18181818181818182,0.20626534250961365,0.10906551723834636,M1,M3
6.980564316915604,0.18181818181818182,0.202430517192825,0.10724809684951701,M1,M3
7.006383758843892,0.18181818181818182,0.1986386446699313,0.10546981191515796,M1,M3
7.03220320077218,0.18181818181818182,0.19488992940259992,0.10372972679533404,M1,M3
