feature	dx_attractor_value
state_HSC	0.17744206211076435
state_Prog	0.23501481455299783
state_GMP	0.18895279554170188
state_MonoDC	0.2531993841485134
aux_EryBaso	0.028710220318237452
aux_CLP	0.01132780902285756
