model_id,model_label,family,branch_aware,k,n,success,message,loglik,aic,aicc,bic,delta_aicc,aicc_weight
M3,Student-t branch-aware,student_t,True,5,21,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-34.086457200588754,78.17291440117751,82.17291440117751,83.39552658979463,0.0,0.7787877699930447
M1,Gaussian branch-aware,gaussian,True,4,21,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-37.09628043873542,82.19256087747084,84.69256087747084,86.37065062836453,2.5196464762933317,0.2209453380032473
M0,Gaussian pooled,gaussian,False,2,21,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-46.95773037774457,97.91546075548914,98.5821274221558,100.00450563093598,16.4092130209783,0.0002129137891945126
M2,Student-t pooled,student_t,False,3,21,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-46.95748816611814,99.91497633223628,101.32674103811863,103.04854364540655,19.15382663694112,5.3978214513685166e-05
