metric,column,median_diff_switching_minus_stable,ci_lo,ci_hi,cliffs_delta,n_stable,n_switching,n_boot,seed
Total,total_disp_std,2.8530565170242097,1.9433662941749335,4.735411755990637,0.8909090909090909,10,11,10000,1
Malignant,malignant_disp_std,2.2747345414977396,1.2021426711798786,3.81530032587711,0.9454545454545454,10,11,10000,1
TME,tme_disp_std,1.1346489152169135,0.2855575500706051,3.1987641636215938,0.7090909090909091,10,11,10000,1
