generator_family,metric,mean,ci_low,ci_high,n
OULB,delta_elpd_per_obs,-0.006505389591497903,-0.011752964669465652,-0.0011837671846112456,30
OULB,delta_rmse,-0.0015222775212263664,-0.0027123588489154746,-0.00037976416405684124,30
OULB,oulb_coverage95,0.9478260869565217,0.9275362318840581,0.9666666666666666,30
Nonlinear,delta_elpd_per_obs,0.07207834408148808,0.046160822276063065,0.09791311534170448,30
Nonlinear,delta_rmse,0.013111810122196506,0.0007408605823860685,0.025535329604625477,30
Nonlinear,oulb_coverage95,0.9449275362318841,0.9260869565217393,0.9623188405797102,30
