generator,OU,OU+T,OU+L,OU+B,OULB
OU,-0.05171613491338319,-0.057426544011460884,-0.05173140443282429,-0.05897222156787346,-0.06495757052748675
OU+T,-0.22084284841820975,-0.28960283761442507,-0.20996833983918783,-0.22760371289293313,-0.2540786904994011
OU+L,-0.05836407010381631,-0.05044904761605464,-0.059109209926010015,-0.07424745742343675,-0.06276678673773807
OU+B,-0.006058386881403552,-0.006007343135515764,-0.010107324249984551,-0.011886182701649371,-0.014823107102777027
OULB,-0.022426188063674288,-0.02264035965224335,-0.038690080577946866,-0.04366874773940392,-0.05027867469987794
Nonlinear,-1.9660548958337758,-1.9633130980669022,-1.9493512792305128,-0.19314468753300384,-0.16575132020506397
