generator,difficulty,fitted_model,n_train_trajectories,fit_success,train_loglik,n_iter,optimizer_message,theta_hat,mu_hat,base_mu_hat,branch_sep_hat,delta_hat,sigma_hat,q_hat,lambda_hat,sJ_hat,obs_sd_hat
OU+T,Difficult,OU+B,10,True,-74.40672788221185,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.009679355784651605,0.29013695585744576,,0.6145973695764414,0.08523479960418892,,,0.34254996522804504
OU+T,Difficult,OULB,10,True,-71.91216001031758,47,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.00678549972216644,0.05,-0.09645463518396279,0.05,1.0,0.3236548879928262,0.4951434183518396,0.35915188018239624
OU+L,Easy,OU,10,True,787.0286924148309,22,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-5.429031675686817e-05,,,,0.050443633760524145,,,,0.049006426970370644
OU+L,Easy,OU+T,10,True,787.0663006473657,23,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.0022567148091297007,,,0.0041671828038034806,0.05005870117112923,,,,0.0490303935056539
OU+L,Easy,OU+L,10,True,790.8476884728237,30,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.0008503018784577389,,,,0.05,,0.0733915124128675,0.1443027945559629,0.04727267394263955
OU+L,Easy,OU+B,10,True,785.259334085889,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-9.788861378464146e-05,0.05,,0.05,1.0,,,0.04889778848625242
OU+L,Easy,OULB,10,True,788.8355820311621,70,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.0024684428303202136,0.05,0.002905904505192982,0.05,0.17626805779568405,0.06729794176927872,0.1502123698109456,0.047231681442636106
OU+L,Intermediate,OU,10,True,-28.54390016488356,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.00480525529758916,,,,0.05,,,,0.23587076302117052
OU+L,Intermediate,OU+T,10,True,-28.5202486300089,21,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,0.0019274750350639195,,,-0.013200702410985551,0.05,,,,0.2358467723246156
OU+L,Intermediate,OU+L,10,True,-28.4389185525747,39,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.0035786282079965453,,,,0.05,,1.0,0.07272858235538082,0.23146050133341897
