panel,scenario,parameter,panel_title,symbol,n,truth,estimate_mean,estimate_median,estimate_sd,bias,mae,rmse,estimate_min,estimate_max,boundary_hit_fraction,boundary_annotation
A,brownian,drift,Brownian drift recovery,$\beta$,100,0.15,0.15539511083238802,0.14457920045663625,0.13493971845883895,0.005395110832388015,0.10715302611120212,0.13437167693553193,-0.1912680149790231,0.469123301531114,,Boundary flags not archived in baseline recovery tables
B,brownian,sigma,Brownian diffusion recovery,$\sigma$,100,0.3,0.2833608489880476,0.2841125751153941,0.04490226484776461,-0.016639151011952433,0.03761121033590939,0.04767507316169287,0.1856185754375441,0.3893372017030364,,Boundary flags not archived in baseline recovery tables
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,100,0.8,1.138456858909738,1.0429630881493508,0.522552353866591,0.3384568589097378,0.4711610185606393,0.6203897148158133,0.0886186234292951,2.7494321293895188,,Boundary flags not archived in baseline recovery tables
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,100,0.2,0.17993559510443322,0.2267587481059692,0.3514027469612771,-0.020064404895566778,0.1624141246035934,0.3502165501657871,-2.798011235719523,0.5547292074422511,,Boundary flags not archived in baseline recovery tables
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,100,0.25,0.24487198616183356,0.24024384765093504,0.04361839274897769,-0.0051280138381664345,0.03712051833442497,0.04370165980907882,0.1582386674101528,0.3462145485448388,,Boundary flags not archived in baseline recovery tables
F,shifted_ou,delta,Treatment-shift $\Delta$ recovery,$\Delta$,100,0.6,0.6328798166853576,0.5376238937642743,0.4581460161131418,0.032879816685357624,0.2829696571362492,0.4570337807042302,0.0490146575161167,3.1871743245957416,,Boundary flags not archived in baseline recovery tables
