replicate,scenario,event,interval,event_time,time_start,time_end,from,to,branch_from,branch_to,n_jumps,magnitude
68,branch_reorganization,branch_transition,9,0.5555555555555556,,,,,1.0,0.0,,
70,jump,jump,8,0.5,0.4444444444444444,0.5,,,,,1.0,0.8524079611189056
71,branch_reorganization,branch_transition,6,0.38888888888888884,0.3333333333333333,0.38888888888888884,0.0,1.0,,,,
71,branch_reorganization,branch_transition,9,0.5555555555555556,0.5,0.5555555555555556,1.0,0.0,,,,
71,branch_reorganization,branch_transition,6,0.38888888888888884,,,,,0.0,1.0,,
71,branch_reorganization,branch_transition,9,0.5555555555555556,,,,,1.0,0.0,,
73,jump,jump,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,,,,,1.0,0.734257395520136
77,branch_reorganization,branch_transition,0,0.05555555555555555,0.0,0.05555555555555555,0.0,1.0,,,,
77,branch_reorganization,branch_transition,0,0.05555555555555555,,,,,0.0,1.0,,
83,branch_reorganization,branch_transition,7,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.0,1.0,,,,
83,branch_reorganization,branch_transition,7,0.4444444444444444,,,,,0.0,1.0,,
92,branch_reorganization,branch_transition,6,0.38888888888888884,0.3333333333333333,0.38888888888888884,0.0,1.0,,,,
92,branch_reorganization,branch_transition,6,0.38888888888888884,,,,,0.0,1.0,,
95,branch_reorganization,branch_transition,1,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,1.0,,,,
95,branch_reorganization,branch_transition,1,0.1111111111111111,,,,,0.0,1.0,,
98,branch_reorganization,branch_transition,1,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,1.0,,,,
98,branch_reorganization,branch_transition,1,0.1111111111111111,,,,,0.0,1.0,,
101,branch_reorganization,branch_transition,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.0,1.0,,,,
101,branch_reorganization,branch_transition,17,1.0,0.9444444444444444,1.0,1.0,0.0,,,,
101,branch_reorganization,branch_transition,12,0.7222222222222222,,,,,0.0,1.0,,
101,branch_reorganization,branch_transition,17,1.0,,,,,1.0,0.0,,
104,branch_reorganization,branch_transition,2,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,1.0,,,,
