replicate,seed,jump_rate,jump_scale,diffusion_sigma,observation_noise,n_observations,n_observed,n_true_jumps,n_detected_jumps,tp,fp,tn,fn,precision,recall,false_positive_rate,f1,condition_index
4,904997587,0.1,0.2,0.1,0.0,40,40,1,0,0,0,38,1,,0.0,0.0,,1
5,2128626348,0.1,0.2,0.1,0.0,40,40,1,0,0,0,38,1,,0.0,0.0,,1
6,1234402299,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
7,1822568212,0.1,0.2,0.1,0.0,40,40,2,1,1,0,37,1,1.0,0.5,0.0,0.6666666666666666,1
8,2138485656,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
9,1364095658,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
10,1080299939,0.1,0.2,0.1,0.0,40,40,1,1,1,0,38,0,1.0,1.0,0.0,1.0,1
11,1806420015,0.1,0.2,0.1,0.0,40,40,2,3,2,1,36,0,0.6666666666666666,1.0,0.02702702702702703,0.8,1
12,880957711,0.1,0.2,0.1,0.0,40,40,0,1,0,1,38,0,0.0,,0.02564102564102564,,1
13,1769911050,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
14,86077470,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
15,2017701528,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
16,759129901,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
17,938899003,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
18,1941176562,0.1,0.2,0.1,0.0,40,40,2,1,1,0,37,1,1.0,0.5,0.0,0.6666666666666666,1
19,317204157,0.1,0.2,0.1,0.0,40,40,1,1,1,0,38,0,1.0,1.0,0.0,1.0,1
20,1809310236,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
21,1280915368,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
22,692026280,0.1,0.2,0.1,0.0,40,40,2,2,2,0,37,0,1.0,1.0,0.0,1.0,1
23,1353586485,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
24,708173904,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
25,1707497775,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
26,1521306519,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
27,1540684928,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
28,1506806424,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
29,2053047973,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
30,1728793733,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
31,914909442,0.1,0.2,0.1,0.0,40,40,0,1,0,1,38,0,0.0,,0.02564102564102564,,1
32,336875329,0.1,0.2,0.1,0.0,40,40,1,1,1,0,38,0,1.0,1.0,0.0,1.0,1
33,1299066364,0.1,0.2,0.1,0.0,40,40,1,0,0,0,38,1,,0.0,0.0,,1
34,770243748,0.1,0.2,0.1,0.0,40,40,1,0,0,0,38,1,,0.0,0.0,,1
35,1161556654,0.1,0.2,0.1,0.0,40,40,1,1,1,0,38,0,1.0,1.0,0.0,1.0,1
36,198477208,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
37,1834537503,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
38,567543608,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
39,1697469599,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
40,1019841000,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
41,1870673622,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
42,114494358,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
43,1004930357,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
44,130297517,0.1,0.2,0.1,0.0,40,40,1,1,1,0,38,0,1.0,1.0,0.0,1.0,1
45,1861438434,0.1,0.2,0.1,0.0,40,40,1,1,1,0,38,0,1.0,1.0,0.0,1.0,1
46,1159690148,0.1,0.2,0.1,0.0,40,40,1,0,0,0,38,1,,0.0,0.0,,1
47,468893596,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
48,1371950262,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
49,1005291074,0.1,0.2,0.1,0.0,40,40,0,0,0,0,39,0,,,0.0,,1
0,1778453090,0.1,0.2,0.1,0.1,20,20,0,3,0,3,16,0,0.0,,0.15789473684210525,,2
1,1296073586,0.1,0.2,0.1,0.1,20,20,0,9,0,9,10,0,0.0,,0.47368421052631576,,2
2,1533833383,0.1,0.2,0.1,0.1,20,20,1,5,1,4,14,0,0.2,1.0,0.2222222222222222,0.33333333333333337,2
3,430563326,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
4,1813397872,0.1,0.2,0.1,0.1,20,20,2,8,1,7,10,1,0.125,0.5,0.4117647058823529,0.2,2
5,1403735688,0.1,0.2,0.1,0.1,20,20,1,6,1,5,13,0,0.16666666666666666,1.0,0.2777777777777778,0.2857142857142857,2
6,1819031028,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
7,266122179,0.1,0.2,0.1,0.1,20,20,0,4,0,4,15,0,0.0,,0.21052631578947367,,2
8,1538765539,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
9,1688125178,0.1,0.2,0.1,0.1,20,20,1,8,1,7,11,0,0.125,1.0,0.3888888888888889,0.2222222222222222,2
10,1220622018,0.1,0.2,0.1,0.1,20,20,1,4,0,4,14,1,0.0,0.0,0.2222222222222222,0.0,2
11,2064324441,0.1,0.2,0.1,0.1,20,20,2,3,1,2,15,1,0.3333333333333333,0.5,0.11764705882352941,0.4,2
12,1878942799,0.1,0.2,0.1,0.1,20,20,0,6,0,6,13,0,0.0,,0.3157894736842105,,2
13,63495386,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
14,545826141,0.1,0.2,0.1,0.1,20,20,1,8,0,8,10,1,0.0,0.0,0.4444444444444444,0.0,2
15,1930182468,0.1,0.2,0.1,0.1,20,20,0,7,0,7,12,0,0.0,,0.3684210526315789,,2
16,1471278940,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
17,1646927922,0.1,0.2,0.1,0.1,20,20,0,4,0,4,15,0,0.0,,0.21052631578947367,,2
18,1180636031,0.1,0.2,0.1,0.1,20,20,2,4,1,3,14,1,0.25,0.5,0.17647058823529413,0.3333333333333333,2
19,1498416876,0.1,0.2,0.1,0.1,20,20,2,8,2,6,11,0,0.25,1.0,0.35294117647058826,0.4,2
20,132628910,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
21,198860679,0.1,0.2,0.1,0.1,20,20,1,4,1,3,15,0,0.25,1.0,0.16666666666666666,0.4,2
22,608124517,0.1,0.2,0.1,0.1,20,20,0,7,0,7,12,0,0.0,,0.3684210526315789,,2
23,1441580285,0.1,0.2,0.1,0.1,20,20,1,3,1,2,16,0,0.3333333333333333,1.0,0.1111111111111111,0.5,2
24,963274389,0.1,0.2,0.1,0.1,20,20,0,4,0,4,15,0,0.0,,0.21052631578947367,,2
25,235241185,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
26,381520035,0.1,0.2,0.1,0.1,20,20,1,5,1,4,14,0,0.2,1.0,0.2222222222222222,0.33333333333333337,2
27,1090277038,0.1,0.2,0.1,0.1,20,20,0,7,0,7,12,0,0.0,,0.3684210526315789,,2
28,1307569330,0.1,0.2,0.1,0.1,20,20,1,6,0,6,12,1,0.0,0.0,0.3333333333333333,0.0,2
29,1320229732,0.1,0.2,0.1,0.1,20,20,0,3,0,3,16,0,0.0,,0.15789473684210525,,2
30,1619196013,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
31,1708037070,0.1,0.2,0.1,0.1,20,20,0,9,0,9,10,0,0.0,,0.47368421052631576,,2
32,834279182,0.1,0.2,0.1,0.1,20,20,2,11,1,10,7,1,0.09090909090909091,0.5,0.5882352941176471,0.15384615384615385,2
33,1914225626,0.1,0.2,0.1,0.1,20,20,0,6,0,6,13,0,0.0,,0.3157894736842105,,2
34,658348529,0.1,0.2,0.1,0.1,20,20,1,2,0,2,16,1,0.0,0.0,0.1111111111111111,0.0,2
35,1422270540,0.1,0.2,0.1,0.1,20,20,1,9,0,9,9,1,0.0,0.0,0.5,0.0,2
36,1478957774,0.1,0.2,0.1,0.1,20,20,0,4,0,4,15,0,0.0,,0.21052631578947367,,2
37,1675604729,0.1,0.2,0.1,0.1,20,20,1,5,0,5,13,1,0.0,0.0,0.2777777777777778,0.0,2
38,1511794137,0.1,0.2,0.1,0.1,20,20,0,6,0,6,13,0,0.0,,0.3157894736842105,,2
39,1571649205,0.1,0.2,0.1,0.1,20,20,0,4,0,4,15,0,0.0,,0.21052631578947367,,2
40,872638314,0.1,0.2,0.1,0.1,20,20,0,3,0,3,16,0,0.0,,0.15789473684210525,,2
41,1757254007,0.1,0.2,0.1,0.1,20,20,0,8,0,8,11,0,0.0,,0.42105263157894735,,2
42,651043144,0.1,0.2,0.1,0.1,20,20,0,5,0,5,14,0,0.0,,0.2631578947368421,,2
43,424265003,0.1,0.2,0.1,0.1,20,20,0,8,0,8,11,0,0.0,,0.42105263157894735,,2
44,2068985937,0.1,0.2,0.1,0.1,20,20,1,4,0,4,14,1,0.0,0.0,0.2222222222222222,0.0,2
45,1453573821,0.1,0.2,0.1,0.1,20,20,1,9,0,9,9,1,0.0,0.0,0.5,0.0,2
46,1713292370,0.1,0.2,0.1,0.1,20,20,0,4,0,4,15,0,0.0,,0.21052631578947367,,2
47,337983612,0.1,0.2,0.1,0.1,20,20,0,8,0,8,11,0,0.0,,0.42105263157894735,,2
48,721714545,0.1,0.2,0.1,0.1,20,20,0,6,0,6,13,0,0.0,,0.3157894736842105,,2
49,1921641112,0.1,0.2,0.1,0.1,20,20,2,4,1,3,14,1,0.25,0.5,0.17647058823529413,0.3333333333333333,2
0,560494785,0.1,0.2,0.1,0.1,40,40,0,17,0,17,22,0,0.0,,0.4358974358974359,,3
1,1911014047,0.1,0.2,0.1,0.1,40,40,1,15,1,14,24,0,0.06666666666666667,1.0,0.3684210526315789,0.125,3
2,1878963715,0.1,0.2,0.1,0.1,40,40,1,18,1,17,21,0,0.05555555555555555,1.0,0.4473684210526316,0.10526315789473684,3
3,833072958,0.1,0.2,0.1,0.1,40,40,2,18,1,17,20,1,0.05555555555555555,0.5,0.4594594594594595,0.09999999999999999,3
4,112301314,0.1,0.2,0.1,0.1,40,40,1,16,1,15,23,0,0.0625,1.0,0.39473684210526316,0.11764705882352941,3
5,1902658666,0.1,0.2,0.1,0.1,40,40,0,22,0,22,17,0,0.0,,0.5641025641025641,,3
6,1308899199,0.1,0.2,0.1,0.1,40,40,0,14,0,14,25,0,0.0,,0.358974358974359,,3
7,71284433,0.1,0.2,0.1,0.1,40,40,0,18,0,18,21,0,0.0,,0.46153846153846156,,3
8,2145380984,0.1,0.2,0.1,0.1,40,40,0,10,0,10,29,0,0.0,,0.2564102564102564,,3
9,20913095,0.1,0.2,0.1,0.1,40,40,1,17,0,17,21,1,0.0,0.0,0.4473684210526316,0.0,3
10,1332800027,0.1,0.2,0.1,0.1,40,40,0,23,0,23,16,0,0.0,,0.5897435897435898,,3
11,1973966048,0.1,0.2,0.1,0.1,40,40,0,17,0,17,22,0,0.0,,0.4358974358974359,,3
12,2008568968,0.1,0.2,0.1,0.1,40,40,0,17,0,17,22,0,0.0,,0.4358974358974359,,3
13,1968535138,0.1,0.2,0.1,0.1,40,40,0,18,0,18,21,0,0.0,,0.46153846153846156,,3
14,2066072040,0.1,0.2,0.1,0.1,40,40,0,21,0,21,18,0,0.0,,0.5384615384615384,,3
15,695063271,0.1,0.2,0.1,0.1,40,40,1,16,1,15,23,0,0.0625,1.0,0.39473684210526316,0.11764705882352941,3
16,2038325710,0.1,0.2,0.1,0.1,40,40,0,16,0,16,23,0,0.0,,0.41025641025641024,,3
17,2005883403,0.1,0.2,0.1,0.1,40,40,2,19,1,18,19,1,0.05263157894736842,0.5,0.4864864864864865,0.09523809523809525,3
18,184177968,0.1,0.2,0.1,0.1,40,40,0,19,0,19,20,0,0.0,,0.48717948717948717,,3
19,623116863,0.1,0.2,0.1,0.1,40,40,0,17,0,17,22,0,0.0,,0.4358974358974359,,3
20,576064910,0.1,0.2,0.1,0.1,40,40,1,15,1,14,24,0,0.06666666666666667,1.0,0.3684210526315789,0.125,3
21,41916542,0.1,0.2,0.1,0.1,40,40,1,19,1,18,20,0,0.05263157894736842,1.0,0.47368421052631576,0.1,3
22,450862273,0.1,0.2,0.1,0.1,40,40,1,21,1,20,18,0,0.047619047619047616,1.0,0.5263157894736842,0.0909090909090909,3
23,1992759614,0.1,0.2,0.1,0.1,40,40,0,14,0,14,25,0,0.0,,0.358974358974359,,3
24,2129204255,0.1,0.2,0.1,0.1,40,40,0,16,0,16,23,0,0.0,,0.41025641025641024,,3
25,1228903895,0.1,0.2,0.1,0.1,40,40,0,18,0,18,21,0,0.0,,0.46153846153846156,,3
26,1226057749,0.1,0.2,0.1,0.1,40,40,1,15,1,14,24,0,0.06666666666666667,1.0,0.3684210526315789,0.125,3
27,617257420,0.1,0.2,0.1,0.1,40,40,0,10,0,10,29,0,0.0,,0.2564102564102564,,3
28,214085012,0.1,0.2,0.1,0.1,40,40,0,17,0,17,22,0,0.0,,0.4358974358974359,,3
29,319742750,0.1,0.2,0.1,0.1,40,40,1,18,0,18,20,1,0.0,0.0,0.47368421052631576,0.0,3
30,26239752,0.1,0.2,0.1,0.1,40,40,0,18,0,18,21,0,0.0,,0.46153846153846156,,3
31,1211669464,0.1,0.2,0.1,0.1,40,40,0,17,0,17,22,0,0.0,,0.4358974358974359,,3
32,130979062,0.1,0.2,0.1,0.1,40,40,0,12,0,12,27,0,0.0,,0.3076923076923077,,3
33,341964432,0.1,0.2,0.1,0.1,40,40,1,14,1,13,25,0,0.07142857142857142,1.0,0.34210526315789475,0.13333333333333333,3
34,2041571651,0.1,0.2,0.1,0.1,40,40,3,15,2,13,23,1,0.13333333333333333,0.6666666666666666,0.3611111111111111,0.2222222222222222,3
35,1144837778,0.1,0.2,0.1,0.1,40,40,1,19,1,18,20,0,0.05263157894736842,1.0,0.47368421052631576,0.1,3
36,140304656,0.1,0.2,0.1,0.1,40,40,1,22,1,21,17,0,0.045454545454545456,1.0,0.5526315789473685,0.08695652173913045,3
37,452201905,0.1,0.2,0.1,0.1,40,40,3,21,2,19,17,1,0.09523809523809523,0.6666666666666666,0.5277777777777778,0.16666666666666666,3
38,239835878,0.1,0.2,0.1,0.1,40,40,1,18,1,17,21,0,0.05555555555555555,1.0,0.4473684210526316,0.10526315789473684,3
39,338587302,0.1,0.2,0.1,0.1,40,40,1,20,1,19,19,0,0.05,1.0,0.5,0.09523809523809523,3
40,310143779,0.1,0.2,0.1,0.1,40,40,0,15,0,15,24,0,0.0,,0.38461538461538464,,3
41,229793209,0.1,0.2,0.1,0.1,40,40,0,16,0,16,23,0,0.0,,0.41025641025641024,,3
42,337237208,0.1,0.2,0.1,0.1,40,40,0,11,0,11,28,0,0.0,,0.28205128205128205,,3
43,592654303,0.1,0.2,0.1,0.1,40,40,1,14,1,13,25,0,0.07142857142857142,1.0,0.34210526315789475,0.13333333333333333,3
44,1269997257,0.1,0.2,0.1,0.1,40,40,0,22,0,22,17,0,0.0,,0.5641025641025641,,3
45,191844329,0.1,0.2,0.1,0.1,40,40,0,18,0,18,21,0,0.0,,0.46153846153846156,,3
46,1173680078,0.1,0.2,0.1,0.1,40,40,0,15,0,15,24,0,0.0,,0.38461538461538464,,3
47,121191698,0.1,0.2,0.1,0.1,40,40,0,21,0,21,18,0,0.0,,0.5384615384615384,,3
48,1881705990,0.1,0.2,0.1,0.1,40,40,1,21,1,20,18,0,0.047619047619047616,1.0,0.5263157894736842,0.0909090909090909,3
49,672673040,0.1,0.2,0.1,0.1,40,40,0,17,0,17,22,0,0.0,,0.4358974358974359,,3
0,1723241643,0.1,0.2,0.1,0.25,20,20,1,12,1,11,7,0,0.08333333333333333,1.0,0.6111111111111112,0.15384615384615385,4
1,2019195173,0.1,0.2,0.1,0.25,20,20,0,15,0,15,4,0,0.0,,0.7894736842105263,,4
