example_id,example_type,mechanism,seed,selection_metric,selection_value,time,latent_state,observed_state,true_branch,predicted_branch,true_attractor,attractor_0,attractor_1
J_success,jump_success,jump,219311,f1,1.0,0.0,0.0,0.0,,,,,
J_success,jump_success,jump,219311,f1,1.0,0.2631578947368421,0.023739460753465287,0.023739460753465287,,,,,
J_success,jump_success,jump,219311,f1,1.0,0.5263157894736842,0.2454740822793236,0.2454740822793236,,,,,
J_success,jump_success,jump,219311,f1,1.0,0.7894736842105263,0.2629969658471993,0.2629969658471993,,,,,
J_success,jump_success,jump,219311,f1,1.0,1.0526315789473684,0.24001286924874382,0.24001286924874382,,,,,
J_success,jump_success,jump,219311,f1,1.0,1.3157894736842104,-0.5043719898266738,-0.5043719898266738,,,,,
J_success,jump_success,jump,219311,f1,1.0,1.5789473684210527,-0.44817817722390896,-0.44817817722390896,,,,,
J_success,jump_success,jump,219311,f1,1.0,1.8421052631578947,-0.37675149911876216,-0.37675149911876216,,,,,
J_success,jump_success,jump,219311,f1,1.0,2.1052631578947367,-0.2972380174660854,-0.2972380174660854,,,,,
J_success,jump_success,jump,219311,f1,1.0,2.3684210526315788,-0.24106611627520058,-0.24106611627520058,,,,,
J_success,jump_success,jump,219311,f1,1.0,2.631578947368421,-0.932548534509984,-0.932548534509984,,,,,
J_success,jump_success,jump,219311,f1,1.0,2.894736842105263,-0.7346618897864309,-0.7346618897864309,,,,,
J_success,jump_success,jump,219311,f1,1.0,3.1578947368421053,-0.5511606167191603,-0.5511606167191603,,,,,
J_success,jump_success,jump,219311,f1,1.0,3.4210526315789473,-0.47494608895944207,-0.47494608895944207,,,,,
J_success,jump_success,jump,219311,f1,1.0,3.6842105263157894,-0.3554990227709987,-0.3554990227709987,,,,,
J_success,jump_success,jump,219311,f1,1.0,3.9473684210526314,-0.262511726125744,-0.262511726125744,,,,,
J_success,jump_success,jump,219311,f1,1.0,4.2105263157894735,-0.18902265540571483,-0.18902265540571483,,,,,
J_success,jump_success,jump,219311,f1,1.0,4.473684210526316,-0.20106363691167872,-0.20106363691167872,,,,,
J_success,jump_success,jump,219311,f1,1.0,4.7368421052631575,-0.18537510725855433,-0.18537510725855433,,,,,
J_success,jump_success,jump,219311,f1,1.0,5.0,-0.13645357542861836,-0.13645357542861836,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,0.0,0.0,-0.23752761068545858,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,0.1282051282051282,-0.02580837604418064,-0.01359299231875346,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,0.2564102564102564,-0.004864071801967889,-0.12183342890775388,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,0.3846153846153846,-0.028733040965575087,0.015883990293976212,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,0.5128205128205128,-0.1334726365170902,-0.24937140832961346,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,0.641025641025641,-0.07964074492355164,0.16934288576794132,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,0.7692307692307692,-0.014836307566872584,0.020928064791766197,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,0.8974358974358974,-0.07057397900559913,0.02340065371810962,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,1.0256410256410255,-0.017086086656702387,-0.03975946763533722,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,1.1538461538461537,-0.05313217211151721,-0.19190661200731726,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,1.282051282051282,-0.061589743286983176,0.0013554479852210671,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,1.4102564102564101,0.029682584595235012,0.2704813056350407,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,1.5384615384615383,0.09296101295524023,0.22665573585075363,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,1.6666666666666665,0.1787091515023465,0.16695915975297457,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,1.7948717948717947,0.1687445278057255,0.3464163490027189,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,1.923076923076923,0.23176397461233203,0.25834415017677004,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,2.051282051282051,0.2931537729155488,0.3483275518592408,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,2.1794871794871793,0.24750683212427727,0.18867041975065074,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,2.3076923076923075,0.21895056683252656,0.3265180738891632,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,2.4358974358974357,0.16987127756704462,0.2611929768524022,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,2.564102564102564,0.05941603917507282,0.20685592986241025,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,2.692307692307692,0.03887194524364205,-0.14943444914698442,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,2.8205128205128203,0.05780499193289826,0.08648889263872604,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,2.9487179487179485,0.14934520130653936,-0.04531244086728997,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,3.0769230769230766,0.14406310165936703,0.23741628841592533,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,3.205128205128205,0.09298352074298305,0.04510332340750367,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,3.333333333333333,0.09422880763641578,-0.03510743320000903,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,3.4615384615384612,0.03518704961134666,0.06007453915167039,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,3.5897435897435894,0.14512633980328024,0.23326139582821762,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,3.7179487179487176,0.18993631671328245,0.33954256645685604,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,3.846153846153846,0.1293454192701517,0.10533872405557865,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,3.974358974358974,0.1608299214465973,0.24122631058477234,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,4.102564102564102,0.1446055694445675,-0.060476729513334215,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,4.23076923076923,0.16971056270840437,0.24687193503879168,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,4.358974358974359,0.07199567432360239,0.07657329560013464,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,4.487179487179487,-0.0010522910717806339,0.10207933978695699,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,4.615384615384615,0.05305045919568282,0.12314870136403142,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,4.743589743589743,0.15283669990686402,0.1818002735884822,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,4.871794871794871,0.0683831244668511,0.12725649417478732,,,,,
J_failure,jump_failure,jump,2067874,f1,0.0,5.0,0.008115240754752513,0.014290038891912915,,,,,
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,0.0,-0.25,-0.25,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,0.2631578947368421,-0.2082504190274543,-0.2082504190274543,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,0.5263157894736842,-0.3202621510673593,-0.3202621510673593,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,0.7894736842105263,-0.28715841264263353,-0.28715841264263353,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,1.0526315789473684,-0.3882759586807294,-0.3882759586807294,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,1.3157894736842104,-0.3098453801422231,-0.3098453801422231,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,1.5789473684210527,-0.2750691972050358,-0.2750691972050358,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,1.8421052631578947,-0.10824786514146176,-0.10824786514146176,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,2.1052631578947367,-0.19880920469718347,-0.19880920469718347,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,2.3684210526315788,-0.09266480011544287,-0.09266480011544287,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,2.631578947368421,-0.21662819090553598,-0.21662819090553598,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,2.894736842105263,-0.24874421751739473,-0.24874421751739473,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,3.1578947368421053,-0.09766683273962307,-0.09766683273962307,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,3.4210526315789473,-0.045096112473929945,-0.045096112473929945,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,3.6842105263157894,-0.2664168613737189,-0.2664168613737189,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,3.9473684210526314,-0.2011938816133892,-0.2011938816133892,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,4.2105263157894735,-0.09677603886612589,-0.09677603886612589,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,4.473684210526316,-0.2280397178360867,-0.2280397178360867,0.0,0.0,-0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,4.7368421052631575,0.0315915229834437,0.0315915229834437,1.0,1.0,0.25,-0.25,0.25
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,5.0,0.08639012835506268,0.08639012835506268,1.0,1.0,0.25,-0.25,0.25
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,0.0,-0.1,-0.12445184084325528,0.0,0.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,0.2631578947368421,-0.14437429929408213,-0.16329508715718308,0.0,0.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,0.5263157894736842,-0.01829864619525401,-0.10110628711992095,0.0,0.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,0.7894736842105263,-0.07679968787795773,0.2401264276355965,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,1.0526315789473684,0.21125131870186512,0.6876649366152738,1.0,1.0,0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,1.3157894736842104,0.15592088677422586,0.03238757771306293,1.0,1.0,0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,1.5789473684210527,0.30640694543935393,0.34258694997707734,1.0,1.0,0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,1.8421052631578947,0.3230451233058751,0.7338068794699566,1.0,1.0,0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,2.1052631578947367,0.4110615700126403,0.4601027969727703,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,2.3684210526315788,0.5326952162169285,0.3982630566482387,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,2.631578947368421,0.20923556345797184,0.11708369345636667,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,2.894736842105263,0.1586959536152643,0.892987824064824,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,3.1578947368421053,0.21595501953105825,0.2864926715453791,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,3.4210526315789473,0.1517776423446917,-0.13161168741370516,0.0,0.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,3.6842105263157894,0.15533582884576075,0.353068557063819,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,3.9473684210526314,0.15896719185272012,0.32582250562238624,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,4.2105263157894735,0.10773924866304203,0.22862940011924482,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,4.473684210526316,-0.008232547006511007,0.0789049869085871,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,4.7368421052631575,-0.06079927760158118,0.21463359728898582,0.0,1.0,-0.1,-0.1,0.1
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,5.0,-0.0026391645309846723,0.12652139594242887,0.0,1.0,-0.1,-0.1,0.1
