n_observations,noise_sd,missing_probability,interval_pattern,n_fits,observed_n_mean,theta_rmse_naive,theta_rmse_measurement_aware,theta_rmse_improvement,sigma_rmse_naive,sigma_rmse_measurement_aware,sigma_rmse_improvement,theta_boundary_fraction_naive,theta_boundary_fraction_measurement_aware,theta_boundary_reduction,sigma_boundary_fraction_naive,sigma_boundary_fraction_measurement_aware,sigma_boundary_reduction,fit_success_fraction_naive,fit_success_fraction_measurement_aware
5,0.0,0.0,irregular,10,5.0,8.008689145477891,8.008689145477891,0.0,0.24734547483309802,0.24734547483309802,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0
5,0.0,0.0,regular,10,5.0,9.47874220991988,9.47874220991988,0.0,0.4244064281508268,0.4244064281508268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,0.0,0.1,irregular,10,4.5,8.070537506472448,8.070537506472448,0.0,0.16289520431305068,0.16289520431305068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,0.0,0.1,regular,10,4.8,11.464149195612443,11.464149195612443,0.0,0.6180743778965618,0.6180743778965618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,0.0,0.3,irregular,9,4.555555555555555,13.997978943731756,13.997978943731756,0.0,0.40150647875023726,0.40150647875023726,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,1.0
5,0.0,0.3,regular,7,4.0,11.003099575702322,11.003099575702322,0.0,0.5831883096901143,0.5831883096901143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,0.1,0.0,irregular,10,5.0,11.925556771785246,9.172527510850085,2.753029260935161,0.4479804292907579,0.3843695887350727,0.06361084055568517,0.3,0.0,0.3,0.0,0.0,0.0,1.0,1.0
5,0.1,0.0,regular,10,5.0,10.85769581046764,11.88045000197612,-1.022754191508481,0.5986802189632747,0.5292942534863533,0.06938596547692144,0.0,0.1,-0.1,0.0,0.0,0.0,1.0,1.0
5,0.1,0.1,irregular,9,4.888888888888889,13.355534910688,12.89504359951738,0.46049131117061926,0.6846146692314792,0.5824928326138324,0.10212183661764673,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0
5,0.1,0.1,regular,9,4.555555555555555,12.028044826568705,13.443620336777096,-1.4155755102083916,0.4889203901822547,0.3935799933867039,0.09534039679555079,0.0,0.1111111111111111,-0.1111111111111111,0.0,0.0,0.0,1.0,1.0
5,0.1,0.3,irregular,7,4.285714285714286,2.949842306920229,12.10957670181107,-9.15973439489084,0.2860924998954167,0.3201892517181719,-0.034096751822755234,0.0,0.2857142857142857,-0.2857142857142857,0.0,0.0,0.0,1.0,1.0
5,0.1,0.3,regular,7,4.428571428571429,9.091736338531092,8.60746190520298,0.48427443332811215,0.5954168067204146,0.45758115560634416,0.13783565111407048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,0.25,0.0,irregular,10,5.0,14.682647384515953,13.579134950464404,1.1035124340515488,0.7109776132997915,0.22670185229042333,0.48427576100936814,0.4,0.5,-0.09999999999999998,0.0,0.0,0.0,1.0,1.0
5,0.25,0.0,regular,10,5.0,12.34516699196132,16.50959426231746,-4.164427270356141,0.8466575831836027,0.30284931246162344,0.5438082707219793,0.0,0.7,-0.7,0.0,0.0,0.0,1.0,1.0
5,0.25,0.1,irregular,9,4.666666666666667,13.93540081082283,14.339810963376813,-0.40441015255398227,0.5712313696059849,0.2314786700809374,0.3397526995250475,0.3333333333333333,0.5555555555555556,-0.22222222222222227,0.0,0.1111111111111111,-0.1111111111111111,1.0,1.0
5,0.25,0.1,regular,10,4.7,12.332765261736208,16.124697185485488,-3.7919319237492797,1.036100174201739,0.687255805557713,0.348844368644026,0.0,0.4,-0.4,0.0,0.0,0.0,1.0,1.0
5,0.25,0.3,irregular,6,4.833333333333333,15.696218073237791,12.792464489217322,2.9037535840204693,1.2561759446705254,0.5566142203065483,0.6995617243639771,0.6666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0,1.0,1.0
5,0.25,0.3,regular,8,4.5,12.235612121312009,16.275064475990668,-4.039452354678659,0.8435060753666453,0.2383242225020251,0.6051818528646202,0.0,0.625,-0.625,0.0,0.0,0.0,1.0,1.0
5,0.5,0.0,irregular,10,5.0,18.298913581700344,17.17580888222572,1.1231046994746237,2.612334508889022,1.1234055701275607,1.4889289387614615,0.8,0.8,0.0,0.0,0.1,-0.1,1.0,1.0
5,0.5,0.0,regular,10,5.0,13.141799156574272,16.51804181705414,-3.3762426604798677,1.526307022963229,0.4470931346134707,1.0792138883497582,0.0,0.7,-0.7,0.0,0.0,0.0,1.0,1.0
5,0.5,0.1,irregular,10,5.0,16.119304803131406,15.211966892217141,0.907337910914265,2.6604860560899755,1.5739799881652077,1.0865060679247678,0.5,0.6,-0.09999999999999998,0.0,0.0,0.0,1.0,1.0
5,0.5,0.1,regular,10,4.9,13.986573636256775,16.918786009968983,-2.9322123737122077,1.9159520679520754,0.6169084213762522,1.2990436465758233,0.0,0.6,-0.6,0.0,0.0,0.0,1.0,1.0
5,0.5,0.3,irregular,7,4.142857142857143,15.350132880431726,16.833724195494725,-1.4835913150629985,2.812964299974886,2.0203244824419246,0.7926398175329612,0.5714285714285714,0.7142857142857143,-0.1428571428571429,0.0,0.0,0.0,1.0,1.0
5,0.5,0.3,regular,8,4.25,12.058395029698277,16.631849972674768,-4.5734549429764915,1.735023748507818,0.23331553404098498,1.501708214466833,0.0,0.75,-0.75,0.0,0.0,0.0,1.0,1.0
10,0.0,0.0,irregular,10,10.0,1.7061983178587115,1.7061983178587115,0.0,0.06204662528732632,0.06204662528732632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
