branch_separation,switching_rate,diffusion_sigma,observation_noise,n_observations,n_replicates,mean_true_transitions,state_accuracy_mean,state_accuracy_sd,ari_mean,ari_sd,transition_f1_mean
0.5,0.05,0.35,0.25,20,50,0.22,0.713,0.1656188148633322,0.04143463823228227,0.20093187732655143,0.11897546897546898
0.5,0.05,0.35,0.25,40,50,0.16,0.752,0.1488767467211912,0.008802619592402462,0.05114982609406707,0.032563025210084036
0.5,0.05,0.35,0.5,20,50,0.24,0.6809999999999999,0.11512637244633854,0.007719232030537907,0.04189186959523114,0.07626262626262627
0.5,0.05,0.35,0.5,40,50,0.26,0.6245,0.1351010581689401,0.01708927652893701,0.062209402469201085,0.045020242914979754
0.5,0.15,0.1,0.0,20,50,0.64,0.925,0.08645513169221575,0.6585120944540972,0.3762884271449117,0.0
0.5,0.15,0.1,0.0,40,50,0.58,0.9225,0.10894320744764036,0.6540663705185767,0.4272401689515415,0.02666666666666667
0.5,0.15,0.1,0.1,20,50,0.66,0.903,0.10566118357412863,0.550252147761195,0.4102298438503508,0.03933747412008282
0.5,0.15,0.1,0.1,40,50,0.7,0.8835,0.13089273533418613,0.45938261479699555,0.4306369552224052,0.03587962962962963
0.5,0.15,0.1,0.25,20,50,0.78,0.768,0.11237691679598362,0.058939947028904004,0.14330543720841885,0.09074074074074075
0.5,0.15,0.1,0.25,40,50,0.66,0.768,0.10449587434488523,0.05662086991634615,0.11584052262150887,0.09770642085812364
0.5,0.15,0.1,0.5,20,50,0.76,0.632,0.12195683411664596,0.008555840383940088,0.06867825657289622,0.12016772116772118
0.5,0.15,0.1,0.5,40,50,0.7,0.6585,0.0960455355441323,0.018588493147526218,0.05737258150813431,0.08390558296192971
0.5,0.15,0.2,0.0,20,50,0.54,0.8690000000000001,0.15215794693780055,0.5053690150230652,0.4661626082049896,0.1574074074074074
0.5,0.15,0.2,0.0,40,50,0.76,0.863,0.14367977432826234,0.39600945104161406,0.4001435735842314,0.05864197530864198
0.5,0.15,0.2,0.1,20,50,0.7,0.855,0.12340823245122137,0.2417734210482965,0.34922295671877396,0.08355555555555556
0.5,0.15,0.2,0.1,40,50,0.94,0.809,0.15540926875938424,0.14185380588908159,0.24361365784256542,0.09702861952861953
0.5,0.15,0.2,0.25,20,50,0.82,0.7340000000000001,0.12914159291416596,0.08600322724696087,0.1862256688238003,0.08819628647214853
0.5,0.15,0.2,0.25,40,50,0.7,0.7645000000000001,0.10535290548379553,0.09276570021244038,0.14021467971354395,0.0536468433527257
