metric,observed_value,simulated_median,simulated_q025,simulated_q975,ratio_median,ratio_q025,ratio_q975
n_observations,2.0,2.0,2.0,4.0,1.0,1.0,2.0
followup,1.0,1.0,1.0,3.0,1.0,1.0,3.0
total_displacement,0.4572573087091279,0.12814198422875714,0.005612587018044172,0.4572107459867758,0.28024042872165716,0.01227446103352384,0.9998981695394141
max_interval_displacement,0.4313806599297529,0.1284214170007656,0.005612587018044172,0.4534016683197409,0.29769859645928043,0.013010752542680378,1.051047741439252
median_interval_displacement,0.4313806599297529,0.12487662017395985,0.005612587018044172,0.4521845182085215,0.28948126741308955,0.013010752542680378,1.0482262192332785
q90_interval_displacement,0.4313806599297529,0.1284214170007656,0.005612587018044172,0.4534016683197409,0.29769859645928043,0.013010752542680378,1.051047741439252
branch_switch_fraction,0.5714285714285714,0.0,0.0,1.0,0.0,0.0,1.75
