generator_family,replicate,fitted_model,fit_success,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1
Nonlinear,23,OULB,True,-8.004725244530032,-0.348031532370871,0.4521945885686727,0.9565217391304348,0.0744513134249914
Nonlinear,24,OU,True,-16.55119190012567,-0.7196170391358987,0.4781463680684033,0.9130434782608695,0.19881431963211205
Nonlinear,24,OULB,True,-18.61625723937812,-0.8094024886686139,0.5112940398446486,0.8695652173913043,0.35525954251747704
Nonlinear,25,OU,True,-18.75683093750977,-0.8155143885873812,0.5463427007034546,0.8695652173913043,-0.3538544351584127
Nonlinear,25,OULB,True,-20.199901628700868,-0.8782565925522117,0.5507091294968381,0.9130434782608695,-0.3741383396436122
Nonlinear,26,OU,True,-11.363715116993811,-0.49407457030407875,0.42065138476385355,0.9565217391304348,-0.4591562022270497
Nonlinear,26,OULB,True,-8.906785360871238,-0.3872515374291843,0.38093695076390754,0.9565217391304348,-0.5192251054656208
Nonlinear,27,OU,True,-17.24956170460354,-0.7499809436784147,0.5500960469362202,0.9130434782608695,0.07459711326327652
Nonlinear,27,OULB,True,-16.890668287374297,-0.734376882059752,0.5806831194569899,0.9130434782608695,0.12463114982364311
Nonlinear,28,OU,True,-11.838888023047371,-0.5147342618716249,0.4348964041310401,1.0,-0.3679826443158254
Nonlinear,28,OULB,True,-9.984314138016789,-0.4341006146963821,0.38803211319582337,1.0,-0.257257583698879
Nonlinear,29,OU,True,-12.051010762712746,-0.5239569896831628,0.478137629951205,0.9565217391304348,-0.09769658742968701
Nonlinear,29,OULB,True,-10.325938392634065,-0.4489538431580028,0.4723160012189093,0.9565217391304348,-0.004459558148607826
