replicate,scenario,seed,time,latent_state,observed_state,branch_state,attractor
0,retention,1133030900,0.0,0.0,0.02437007780379894,0,-0.3395622360152768
0,retention,1133030900,0.05555555555555555,0.04829234433651147,,0,-0.3395622360152768
0,retention,1133030900,0.1111111111111111,0.11304552101396059,,0,-0.3395622360152768
0,retention,1133030900,0.16666666666666666,0.16809933556182682,,0,-0.3395622360152768
0,retention,1133030900,0.2222222222222222,0.19626335832178116,,0,-0.3395622360152768
0,retention,1133030900,0.2777777777777778,0.24911818575595926,,0,-0.3395622360152768
0,retention,1133030900,0.3333333333333333,0.13548360966020204,,0,-0.3395622360152768
0,retention,1133030900,0.38888888888888884,0.1339264267785951,,0,-0.3395622360152768
0,retention,1133030900,0.4444444444444444,0.06227576219734038,,0,-0.3395622360152768
0,retention,1133030900,0.5,0.0857757538489676,,0,-0.3395622360152768
0,retention,1133030900,0.5555555555555556,0.018541945089509737,,0,-0.3395622360152768
0,retention,1133030900,0.611111111111111,0.049192117173830915,,0,-0.3395622360152768
0,retention,1133030900,0.6666666666666666,0.07922872265743842,,0,-0.3395622360152768
0,retention,1133030900,0.7222222222222222,0.06241258445389639,,0,-0.3395622360152768
0,retention,1133030900,0.7777777777777777,0.04995249643261,,0,-0.3395622360152768
0,retention,1133030900,0.8333333333333333,0.04135054398441112,,0,-0.3395622360152768
0,retention,1133030900,0.8888888888888888,0.016142481344649854,,0,-0.3395622360152768
0,retention,1133030900,0.9444444444444444,0.09211176465733455,,0,-0.3395622360152768
0,retention,1133030900,1.0,0.08973419772402264,0.11854877081771314,0,-0.3395622360152768
1,jump,1754836345,0.0,0.0,-0.06720302677794937,0,-0.3395622360152768
1,jump,1754836345,0.05555555555555555,0.016827376589486322,,0,-0.3395622360152768
1,jump,1754836345,0.1111111111111111,0.03409905776324264,,0,-0.3395622360152768
1,jump,1754836345,0.16666666666666666,0.09488606887103185,,0,-0.3395622360152768
1,jump,1754836345,0.2222222222222222,0.06319818635579524,,0,-0.3395622360152768
1,jump,1754836345,0.2777777777777778,-0.016200241303432228,,0,-0.3395622360152768
1,jump,1754836345,0.3333333333333333,-0.006075461594452528,,0,-0.3395622360152768
1,jump,1754836345,0.38888888888888884,0.05476288874184103,,0,-0.3395622360152768
1,jump,1754836345,0.4444444444444444,0.047896277716376175,,0,-0.3395622360152768
1,jump,1754836345,0.5,0.09471232416582577,,0,-0.3395622360152768
1,jump,1754836345,0.5555555555555556,0.11754082247892657,,0,-0.3395622360152768
1,jump,1754836345,0.611111111111111,0.04454279688147211,,0,-0.3395622360152768
1,jump,1754836345,0.6666666666666666,0.058898318343778726,,0,-0.3395622360152768
1,jump,1754836345,0.7222222222222222,-0.023654852230273325,,0,-0.3395622360152768
1,jump,1754836345,0.7777777777777777,-0.06850453475253188,,0,-0.3395622360152768
1,jump,1754836345,0.8333333333333333,-0.0037903550289533003,,0,-0.3395622360152768
1,jump,1754836345,0.8888888888888888,-0.07515995499888312,,0,-0.3395622360152768
1,jump,1754836345,0.9444444444444444,-0.07700882896980261,,0,-0.3395622360152768
1,jump,1754836345,1.0,-0.059454620712589,0.0067009152885145196,0,-0.3395622360152768
