generator,difficulty,dataset_role,trajectory_id,obs_index,time,latent_state,observed_state,treatment,true_branch,jump_event,true_theta,true_sigma,true_obs_noise,true_treatment_shift,true_jump_time,true_jump_size,true_jump_lambda,true_jump_scale,true_branch_time,true_branch_sep,true_branch_q,true_n_branch_switches
OU,Easy,train,0,33,5.186622377431133,0.0,-0.030804274396539884,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,34,5.310223930671366,0.0,0.007612939186618178,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,35,5.419055968264217,0.0,-0.01896716910466458,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,36,5.440994068609286,0.0,0.016737209075786203,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,37,5.481494247950987,0.0,-0.1683311284814757,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,38,5.578205415894731,0.0,-0.060317803648418634,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,39,5.590805286689076,0.0,-0.10185164715646083,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,40,5.899605320357354,0.0,-0.05324352597922392,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,41,6.137506993627326,0.0,-0.07088440879633438,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,42,6.493185525351015,0.0,0.06781360809385027,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,43,6.541912071892409,0.0,-0.04255517080339042,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,44,6.576002726905469,0.0,-0.007972862440449143,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,45,6.589275805209186,0.0,0.004926712614118042,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,46,6.662230853482721,0.0,0.03573560414566289,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
