example_id,example_type,mechanism,seed,selection_metric,selection_value,interval,event_time,true_jump,detected_jump,standardized_innovation,true_transition,predicted_transition
J_failure,jump_failure,jump,2067874,f1,0.0,36,4.743589743589743,False,False,1.0376663364644867,,
J_failure,jump_failure,jump,2067874,f1,0.0,37,4.871794871794871,False,False,-0.5407729172316357,,
J_failure,jump_failure,jump,2067874,f1,0.0,38,5.0,False,False,-1.476862666676982,,
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,0,0.2631578947368421,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,1,0.5263157894736842,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,2,0.7894736842105263,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,3,1.0526315789473684,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,4,1.3157894736842104,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,5,1.5789473684210527,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,6,1.8421052631578947,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,7,2.1052631578947367,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,8,2.3684210526315788,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,9,2.631578947368421,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,10,2.894736842105263,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,11,3.1578947368421053,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,12,3.4210526315789473,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,13,3.6842105263157894,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,14,3.9473684210526314,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,15,4.2105263157894735,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,16,4.473684210526316,,,,False,False
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,17,4.7368421052631575,,,,True,True
B_success,branch_success,branch,7441463,adjusted_rand_index,1.0,18,5.0,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,0,0.2631578947368421,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,1,0.5263157894736842,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,2,0.7894736842105263,,,,False,True
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,3,1.0526315789473684,,,,True,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,4,1.3157894736842104,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,5,1.5789473684210527,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,6,1.8421052631578947,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,7,2.1052631578947367,,,,True,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,8,2.3684210526315788,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,9,2.631578947368421,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,10,2.894736842105263,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,11,3.1578947368421053,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,12,3.4210526315789473,,,,False,True
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,13,3.6842105263157894,,,,False,True
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,14,3.9473684210526314,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,15,4.2105263157894735,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,16,4.473684210526316,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,17,4.7368421052631575,,,,False,False
B_failure,branch_failure,branch,6097556,adjusted_rand_index,-0.13095238095238085,18,5.0,,,,False,False
