parameter,metric,estimator,n,mean,median,ci_lower,ci_upper
theta,rmse,naive,936,9.421380315004727,7.264198604087616,8.898529633348844,9.927113315585673
theta,rmse,measurement_aware,936,8.739002051406983,5.11919735174679,8.237725355765932,9.247356044727955
sigma,rmse,naive,936,1.1286494131268194,0.5423747153505961,1.032481987911852,1.2231197556199427
sigma,rmse,measurement_aware,936,0.33783877926620504,0.24731176429156865,0.30561698837466966,0.37070946755886447
theta,boundary_fraction,naive,936,0.3087606837606838,0.0,0.2798878205128205,0.33974358974358976
theta,boundary_fraction,measurement_aware,936,0.30128205128205127,0.0,0.2724358974358974,0.3311965811965812
