scenario,parameter,n,bias,mae,rmse
brownian,drift,100,0.005395110832388036,0.10715302611120213,0.13437167693553195
brownian,sigma,100,-0.01663915101195241,0.03761121033590939,0.04767507316169286
ou,mu,100,-0.020064404895566757,0.1624141246035934,0.3502165501657871
ou,sigma,100,-0.005128013838166401,0.03712051833442496,0.043701659809078815
ou,theta,100,0.3384568589097379,0.4711610185606393,0.6203897148158133
shifted_ou,delta,100,0.03287981668535764,0.2829696571362492,0.4570337807042302
shifted_ou,mu0,100,-0.0120366395814928,0.13040850223605982,0.19180381368893903
shifted_ou,sigma,100,-0.006419267137191609,0.03776160054270917,0.045563969919666165
shifted_ou,theta,100,0.8737738437229676,0.9898567570410018,1.4079840332005151
