scenario,replicate,parameter,truth,estimate,error,abs_error,sq_error
shifted_ou,6,delta,0.6,0.45181066699482314,-0.14818933300517684,0.14818933300517684,0.02196007841651919
shifted_ou,6,sigma,0.2,0.18954172324553548,-0.010458276754464535,0.010458276754464535,0.00010937555267297325
brownian,7,drift,0.15,0.35598919124507183,0.20598919124507184,0.20598919124507184,0.04243154690979878
brownian,7,sigma,0.3,0.19305960913542572,-0.10694039086457427,0.10694039086457427,0.01143624719826792
ou,7,theta,0.8,0.2563542104490328,-0.5436457895509672,0.5436457895509672,0.29555074449649454
ou,7,mu,0.2,-0.5870321680768823,-0.7870321680768824,0.7870321680768824,0.6194196335877981
ou,7,sigma,0.25,0.19682435582158309,-0.053175644178416914,0.053175644178416914,0.0028276491337896046
shifted_ou,7,theta,0.7,1.2729101300432397,0.5729101300432398,0.5729101300432398,0.3282260171061619
shifted_ou,7,mu0,0.1,-0.09348328888884574,-0.19348328888884575,0.19348328888884575,0.03743578307924454
shifted_ou,7,delta,0.6,0.8377631434752485,0.23776314347524852,0.23776314347524852,0.05653131239523161
shifted_ou,7,sigma,0.2,0.18189894873572574,-0.018101051264274276,0.018101051264274276,0.0003276480568718854
brownian,8,drift,0.15,0.3505453444272363,0.2005453444272363,0.2005453444272363,0.04021843517143883
brownian,8,sigma,0.3,0.3893372017030364,0.08933720170303638,0.08933720170303638,0.007981135608129008
ou,8,theta,0.8,2.1971066266862747,1.3971066266862746,1.3971066266862746,1.9519069263307014
ou,8,mu,0.2,0.32396051691595074,0.12396051691595072,0.12396051691595072,0.015366209754069706
ou,8,sigma,0.25,0.3236115116150327,0.07361151161503271,0.07361151161503271,0.005418654642250095
shifted_ou,8,theta,0.7,0.5267030597448938,-0.1732969402551061,0.1732969402551061,0.030031829501781817
shifted_ou,8,mu0,0.1,-0.022176749556609712,-0.12217674955660972,0.12217674955660972,0.014927158132218532
shifted_ou,8,delta,0.6,0.8679157494689288,0.2679157494689288,0.2679157494689288,0.07177884881349783
shifted_ou,8,sigma,0.2,0.1491883053306913,-0.05081169466930871,0.05081169466930871,0.002581828315167055
brownian,9,drift,0.15,0.26276426498193717,0.11276426498193717,0.11276426498193717,0.012715779456916543
brownian,9,sigma,0.3,0.3234312207723315,0.023431220772331507,0.023431220772331507,0.0005490221068817395
ou,9,theta,0.8,1.2525139010519284,0.45251390105192835,0.45251390105192835,0.2047688306452344
ou,9,mu,0.2,0.1440734034185244,-0.05592659658147561,0.05592659658147561,0.0031277842051871197
ou,9,sigma,0.25,0.24997812900385985,-2.1870996140149757e-05,2.1870996140149757e-05,4.783404721624456e-10
shifted_ou,9,theta,0.7,0.056120982490665335,-0.6438790175093346,0.6438790175093346,0.41458018918878603
shifted_ou,9,mu0,0.1,1.332319738678812,1.2323197386788118,1.2323197386788118,1.518611938337415
shifted_ou,9,delta,0.6,3.1871743245957416,2.5871743245957415,2.5871743245957415,6.693470985847431
shifted_ou,9,sigma,0.2,0.12109506108998747,-0.07890493891001255,0.07890493891001255,0.006225989384392811
brownian,10,drift,0.15,0.24937712014645985,0.09937712014645986,0.09937712014645986,0.009875812008603917
brownian,10,sigma,0.3,0.3037582909838428,0.003758290983842838,0.003758290983842838,1.4124751119234366e-05
ou,10,theta,0.8,0.9592327521765448,0.15923275217654476,0.15923275217654476,0.02535506936571692
ou,10,mu,0.2,0.176350161785064,-0.02364983821493602,0.02364983821493602,0.0005593148475926482
ou,10,sigma,0.25,0.31702359171954053,0.06702359171954053,0.06702359171954053,0.004492161846987662
shifted_ou,10,theta,0.7,1.2152445026218601,0.5152445026218602,0.5152445026218602,0.26547689748204806
shifted_ou,10,mu0,0.1,0.2684031855283152,0.1684031855283152,0.1684031855283152,0.028359632896084154
shifted_ou,10,delta,0.6,0.37972613832231933,-0.22027386167768065,0.22027386167768065,0.048520574138397984
shifted_ou,10,sigma,0.2,0.23312030435633938,0.033120304356339364,0.033120304356339364,0.0010969545606565522
brownian,11,drift,0.15,0.15892957461272014,0.008929574612720148,0.008929574612720148,7.973730276413618e-05
brownian,11,sigma,0.3,0.32119997024405844,0.021199970244058453,0.021199970244058453,0.0004494387383489638
ou,11,theta,0.8,0.7554962745646621,-0.04450372543533798,0.04450372543533798,0.001980581577623949
ou,11,mu,0.2,0.31192385443651555,0.11192385443651554,0.11192385443651554,0.012526949191926318
ou,11,sigma,0.25,0.19565009000028266,-0.05434990999971734,0.05434990999971734,0.0029539127169773746
shifted_ou,11,theta,0.7,0.5875912094984608,-0.11240879050153918,0.11240879050153918,0.012635736182018924
shifted_ou,11,mu0,0.1,-0.11112585017476607,-0.2111258501747661,0.2111258501747661,0.04457412461201778
shifted_ou,11,delta,0.6,1.2443666516114589,0.6443666516114589,0.6443666516114589,0.41520838170896324
shifted_ou,11,sigma,0.2,0.1378553237832575,-0.06214467621674252,0.06214467621674252,0.003861960782083764
brownian,12,drift,0.15,0.29854877420992454,0.14854877420992454,0.14854877420992454,0.022066738319271143
brownian,12,sigma,0.3,0.27402033128503617,-0.02597966871496382,0.02597966871496382,0.0006749431865392699
ou,12,theta,0.8,1.196003991479955,0.3960039914799549,0.3960039914799549,0.1568191612680562
ou,12,mu,0.2,0.29874802792457267,0.09874802792457266,0.09874802792457266,0.009751173018992181
ou,12,sigma,0.25,0.3121475724048237,0.062147572404823714,0.062147572404823714,0.003862320755812806
shifted_ou,12,theta,0.7,0.5128593941234884,-0.1871406058765116,0.1871406058765116,0.03502160636782785
shifted_ou,12,mu0,0.1,-0.11378225489009455,-0.21378225489009456,0.21378225489009456,0.04570285250589336
shifted_ou,12,delta,0.6,0.8922648251135937,0.29226482511359375,0.29226482511359375,0.08541872799867954
shifted_ou,12,sigma,0.2,0.15396898302076123,-0.04603101697923878,0.04603101697923878,0.002118854524142969
brownian,13,drift,0.15,0.3417182165710007,0.19171821657100072,0.19171821657100072,0.03675587456516513
brownian,13,sigma,0.3,0.26921647843745,-0.030783521562549987,0.030783521562549987,0.00094762519979198
ou,13,theta,0.8,0.7797923307359018,-0.020207669264098227,0.020207669264098227,0.00040834989708718016
ou,13,mu,0.2,0.1869102162159322,-0.013089783784067804,0.013089783784067804,0.00017134243951364445
ou,13,sigma,0.25,0.2701823362427017,0.020182336242701715,0.020182336242701715,0.00040732669621347116
shifted_ou,13,theta,0.7,2.3599877245388994,1.6599877245388994,1.6599877245388994,2.7555592456198332
shifted_ou,13,mu0,0.1,-0.00790800517231,-0.10790800517231,0.10790800517231,0.011644137580267283
shifted_ou,13,delta,0.6,0.7702182581297201,0.17021825812972013,0.17021825812972013,0.028974255400716034
shifted_ou,13,sigma,0.2,0.1698282195732032,-0.0301717804267968,0.0301717804267968,0.0009103363341228385
brownian,14,drift,0.15,0.016237157275147497,-0.1337628427248525,0.1337628427248525,0.017892498093833628
brownian,14,sigma,0.3,0.2724034329152106,-0.027596567084789414,0.027596567084789414,0.0007615705148652825
ou,14,theta,0.8,0.836346893851566,0.036346893851565976,0.036346893851565976,0.0013210966926570046
ou,14,mu,0.2,0.42491206369072415,0.22491206369072414,0.22491206369072414,0.05058543639362035
ou,14,sigma,0.25,0.18168103494039448,-0.06831896505960552,0.06831896505960552,0.0046674809868156005
shifted_ou,14,theta,0.7,2.405807311773524,1.7058073117735242,1.7058073117735242,2.909778584900017
shifted_ou,14,mu0,0.1,0.07687948555652951,-0.02312051444347049,0.02312051444347049,0.0005345581881307275
shifted_ou,14,delta,0.6,0.14469641234531658,-0.4553035876546834,0.4553035876546834,0.20730135693122595
shifted_ou,14,sigma,0.2,0.15548809428935914,-0.04451190571064087,0.04451190571064087,0.001981309749992983
brownian,15,drift,0.15,0.08261772204066438,-0.06738227795933562,0.06738227795933562,0.004540371382989166
brownian,15,sigma,0.3,0.30929394059565535,0.009293940595655359,0.009293940595655359,8.637733179557069e-05
ou,15,theta,0.8,1.0291171047898455,0.22911710478984548,0.22911710478984548,0.05249464770728104
ou,15,mu,0.2,0.2667531349339246,0.0667531349339246,0.0667531349339246,0.004455981023506745
ou,15,sigma,0.25,0.2906342658688416,0.04063426586884161,0.04063426586884161,0.0016511435626997064
