scenario,replicate,parameter,truth,estimate,error,abs_error,sq_error
shifted_ou,29,delta,0.6,0.5314624784685472,-0.06853752153145276,0.06853752153145276,0.004697391857674351
shifted_ou,29,sigma,0.2,0.16090816221072643,-0.03909183778927358,0.03909183778927358,0.001528171781742878
brownian,30,drift,0.15,0.12413259692450414,-0.025867403075495857,0.025867403075495857,0.0006691225418701725
brownian,30,sigma,0.3,0.3462269882045948,0.04622698820459481,0.04622698820459481,0.002136934438467748
ou,30,theta,0.8,0.9888648689711864,0.18886486897118637,0.18886486897118637,0.0356699387315034
ou,30,mu,0.2,0.36320176177251406,0.16320176177251405,0.16320176177251405,0.02663481504565243
ou,30,sigma,0.25,0.23426984354008423,-0.015730156459915767,0.015730156459915767,0.00024743782225342977
shifted_ou,30,theta,0.7,1.030350556250636,0.33035055625063614,0.33035055625063614,0.1091314900151047
shifted_ou,30,mu0,0.1,0.23356490165513633,0.13356490165513632,0.13356490165513632,0.017839582954146237
shifted_ou,30,delta,0.6,0.32555566555697135,-0.2744443344430286,0.2744443344430286,0.07531969270787695
shifted_ou,30,sigma,0.2,0.16716312057035784,-0.03283687942964217,0.03283687942964217,0.001078260650676857
brownian,31,drift,0.15,0.10949772771967203,-0.04050227228032796,0.04050227228032796,0.0016404340598698227
brownian,31,sigma,0.3,0.3625857813047877,0.0625857813047877,0.0625857813047877,0.0039169800215307134
ou,31,theta,0.8,1.1296943638542625,0.32969436385426243,0.32969436385426243,0.10869837355726679
ou,31,mu,0.2,0.34466098088039127,0.14466098088039125,0.14466098088039125,0.020926799389276923
ou,31,sigma,0.25,0.20501600274966386,-0.04498399725033614,0.04498399725033614,0.002023560008618249
shifted_ou,31,theta,0.7,4.130191653322757,3.4301916533227566,3.4301916533227566,11.766214778525105
shifted_ou,31,mu0,0.1,0.06800931141018304,-0.03199068858981696,0.03199068858981696,0.001023404156450645
shifted_ou,31,delta,0.6,0.43026300119288996,-0.16973699880711002,0.16973699880711002,0.028810648764044867
shifted_ou,31,sigma,0.2,0.16421187338531612,-0.03578812661468389,0.03578812661468389,0.0012807900065886454
brownian,32,drift,0.15,0.1604062938204638,0.010406293820463819,0.010406293820463819,0.00010829095107782347
brownian,32,sigma,0.3,0.22855983270680835,-0.07144016729319164,0.07144016729319164,0.005103697502879208
ou,32,theta,0.8,1.5608032879214875,0.7608032879214874,0.7608032879214874,0.5788216429121457
ou,32,mu,0.2,0.24214769345513198,0.042147693455131974,0.042147693455131974,0.0017764280635877746
ou,32,sigma,0.25,0.22715069324140472,-0.022849306758595284,0.022849306758595284,0.0005220908193483881
shifted_ou,32,theta,0.7,2.2266234375661673,1.5266234375661674,1.5266234375661674,2.3305791201263415
shifted_ou,32,mu0,0.1,0.11823472653769197,0.018234726537691967,0.018234726537691967,0.0003325052519044077
shifted_ou,32,delta,0.6,0.23128787964044936,-0.3687121203595506,0.3687121203595506,0.1359486277000357
shifted_ou,32,sigma,0.2,0.25526288346686593,0.05526288346686592,0.05526288346686592,0.0030539862890724026
brownian,33,drift,0.15,0.21179640906212147,0.06179640906212147,0.06179640906212147,0.003818796172973049
brownian,33,sigma,0.3,0.32200334800803004,0.022003348008030055,0.022003348008030055,0.0004841473235624802
ou,33,theta,0.8,0.6655881831674962,-0.1344118168325038,0.1344118168325038,0.018066536504214553
ou,33,mu,0.2,0.3389316641314079,0.1389316641314079,0.1389316641314079,0.01930200729832233
ou,33,sigma,0.25,0.15823866741015286,-0.09176133258984714,0.09176133258984714,0.008420142158664544
shifted_ou,33,theta,0.7,0.20891230878898426,-0.4910876912110157,0.4910876912110157,0.2411671204589659
shifted_ou,33,mu0,0.1,0.06689832829972713,-0.03310167170027288,0.03310167170027288,0.0010957206693526466
shifted_ou,33,delta,0.6,1.743405744936101,1.1434057449361008,1.1434057449361008,1.3073766975528796
shifted_ou,33,sigma,0.2,0.17265565343953498,-0.027344346560465027,0.027344346560465027,0.0007477132888188155
brownian,34,drift,0.15,0.08751589559637228,-0.06248410440362771,0.06248410440362771,0.003904263303123448
brownian,34,sigma,0.3,0.38295402512714033,0.08295402512714034,0.08295402512714034,0.006881370284794231
ou,34,theta,0.8,1.1948694713070265,0.39486947130702643,0.39486947130702643,0.15592189937029058
ou,34,mu,0.2,0.14767139639884916,-0.05232860360115085,0.05232860360115085,0.002738282754846378
ou,34,sigma,0.25,0.284001225984617,0.03400122598461702,0.03400122598461702,0.0011560833684569958
shifted_ou,34,theta,0.7,3.6283782670148006,2.928378267014801,2.928378267014801,8.575399274724608
shifted_ou,34,mu0,0.1,0.007540736563861587,-0.09245926343613842,0.09245926343613842,0.008548715395153242
shifted_ou,34,delta,0.6,0.2748453947270472,-0.32515460527295276,0.32515460527295276,0.10572551733020971
shifted_ou,34,sigma,0.2,0.31217700014873445,0.11217700014873444,0.11217700014873444,0.012583679362369166
brownian,35,drift,0.15,0.09717490264702404,-0.052825097352975955,0.052825097352975955,0.0027904909103513872
brownian,35,sigma,0.3,0.32487772966878264,0.024877729668782655,0.024877729668782655,0.0006189014334730288
ou,35,theta,0.8,0.5086488815797511,-0.29135111842024897,0.29135111842024897,0.08488547420472993
ou,35,mu,0.2,0.17145804875544038,-0.028541951244559632,0.028541951244559632,0.0008146429808468191
ou,35,sigma,0.25,0.25290223356757074,0.0029022335675707445,0.0029022335675707445,8.422959680734411e-06
shifted_ou,35,theta,0.7,1.4547546032925023,0.7547546032925023,0.7547546032925023,0.5696545111912226
shifted_ou,35,mu0,0.1,0.010740090297353632,-0.08925990970264637,0.08925990970264637,0.007967331480124584
shifted_ou,35,delta,0.6,0.7042273306741985,0.10422733067419854,0.10422733067419854,0.010863336459468728
shifted_ou,35,sigma,0.2,0.18672632469607028,-0.013273675303929727,0.013273675303929727,0.00017619045607415393
brownian,36,drift,0.15,0.17342288217514867,0.02342288217514868,0.02342288217514868,0.0005486314093908978
brownian,36,sigma,0.3,0.31285758452529633,0.01285758452529634,0.01285758452529634,0.00016531747982513988
ou,36,theta,0.8,1.1080948385838876,0.30809483858388753,0.30809483858388753,0.09492242956203172
ou,36,mu,0.2,0.32279613201526314,0.12279613201526313,0.12279613201526313,0.01507889003790993
ou,36,sigma,0.25,0.2236095160332067,-0.026390483966793304,0.026390483966793304,0.0006964576440015744
shifted_ou,36,theta,0.7,2.31051616673936,1.61051616673936,1.61051616673936,2.593762323328842
shifted_ou,36,mu0,0.1,0.04235613565809631,-0.057643864341903696,0.057643864341903696,0.0033228150962677965
shifted_ou,36,delta,0.6,0.4794433033633433,-0.12055669663665669,0.12055669663665669,0.01453391710394287
shifted_ou,36,sigma,0.2,0.19254853725747756,-0.007451462742522452,0.007451462742522452,5.5524297003200224e-05
brownian,37,drift,0.15,-0.10390095942022956,-0.25390095942022955,0.25390095942022955,0.06446569719451306
brownian,37,sigma,0.3,0.27990713624503283,-0.02009286375496716,0.02009286375496716,0.000403723173875673
ou,37,theta,0.8,1.6397334481531425,0.8397334481531424,0.8397334481531424,0.7051522639471663
ou,37,mu,0.2,0.3796187838037516,0.17961878380375157,0.17961878380375157,0.03226290749513885
ou,37,sigma,0.25,0.1639463694211811,-0.0860536305788189,0.0860536305788189,0.007405227335795836
shifted_ou,37,theta,0.7,2.7311658645922963,2.031165864592296,2.031165864592296,4.12563476948497
shifted_ou,37,mu0,0.1,0.0068138884497944965,-0.09318611155020551,0.09318611155020551,0.008683651385847344
shifted_ou,37,delta,0.6,0.512329820602239,-0.087670179397761,0.087670179397761,0.007686060355635598
shifted_ou,37,sigma,0.2,0.2598079155218375,0.05980791552183751,0.05980791552183751,0.0035769867590672516
brownian,38,drift,0.15,0.3858075863634593,0.2358075863634593,0.2358075863634593,0.055605217786560315
brownian,38,sigma,0.3,0.3013254637261322,0.0013254637261322366,0.0013254637261322366,1.7568540892923529e-06
ou,38,theta,0.8,0.7397678452225289,-0.060232154777471125,0.060232154777471125,0.003627912469137238
ou,38,mu,0.2,0.3305365896873961,0.13053658968739607,0.13053658968739607,0.017039801247215595
ou,38,sigma,0.25,0.28776657078330964,0.03776657078330964,0.03776657078330964,0.0014263138687307373
shifted_ou,38,theta,0.7,0.2333896676280489,-0.46661033237195104,0.46661033237195104,0.21772520227626263
shifted_ou,38,mu0,0.1,-0.061981557605804094,-0.1619815576058041,0.1619815576058041,0.02623802500440243
shifted_ou,38,delta,0.6,1.5275448857742626,0.9275448857742626,0.9275448857742626,0.8603395151259899
shifted_ou,38,sigma,0.2,0.16217213048405252,-0.03782786951594749,0.03782786951594749,0.0014309477121155496
brownian,39,drift,0.15,0.1180107917948368,-0.0319892082051632,0.0319892082051632,0.0010233094415932804
brownian,39,sigma,0.3,0.1948341108164647,-0.10516588918353528,0.10516588918353528,0.011059864247763623
ou,39,theta,0.8,0.9312771959228251,0.13127719592282505,0.13127719592282505,0.017233702169359794
ou,39,mu,0.2,0.3013685599698085,0.10136855996980848,0.10136855996980848,0.010275584950352658
ou,39,sigma,0.25,0.27216268290182294,0.02216268290182294,0.02216268290182294,0.0004911845134067548
shifted_ou,39,theta,0.7,3.0768308612396162,2.3768308612396165,2.3768308612396165,5.649324942941057
shifted_ou,39,mu0,0.1,0.03895832807489959,-0.06104167192510042,0.06104167192510042,0.0037260857114115925
shifted_ou,39,delta,0.6,0.35522834250090796,-0.24477165749909202,0.24477165749909202,0.05991316431485281
shifted_ou,39,sigma,0.2,0.2634689895906905,0.06346898959069047,0.06346898959069047,0.004028312639663176
brownian,40,drift,0.15,0.02757356781396088,-0.12242643218603912,0.12242643218603912,0.014988231297802834
brownian,40,sigma,0.3,0.22579021072350713,-0.07420978927649285,0.07420978927649285,0.005507092824461474
ou,40,theta,0.8,1.1991914743004621,0.3991914743004621,0.3991914743004621,0.15935383315417648
ou,40,mu,0.2,0.43499662151976926,0.23499662151976924,0.23499662151976924,0.055223412125705675
ou,40,sigma,0.25,0.1965536498091193,-0.053446350190880704,0.053446350190880704,0.002856512348726254
shifted_ou,40,theta,0.7,2.040598605149543,1.340598605149543,1.340598605149543,1.7972046201289005
shifted_ou,40,mu0,0.1,0.26352339199757646,0.16352339199757646,0.16352339199757646,0.026739899730393053
shifted_ou,40,delta,0.6,0.1591982231469155,-0.44080177685308447,0.44080177685308447,0.19430620647683647
shifted_ou,40,sigma,0.2,0.24117619474227342,0.04117619474227341,0.04117619474227341,0.0016954790134536242
brownian,41,drift,0.15,0.20212590178783618,0.05212590178783619,0.05212590178783619,0.002717109637195144
brownian,41,sigma,0.3,0.35570608913940377,0.05570608913940378,0.05570608913940378,0.0031031683672072
ou,41,theta,0.8,1.4797426944742806,0.6797426944742806,0.6797426944742806,0.4620501306911552
ou,41,mu,0.2,0.1932805403123914,-0.00671945968760862,0.00671945968760862,4.5151138493397335e-05
ou,41,sigma,0.25,0.2283387240073561,-0.02166127599264389,0.02166127599264389,0.0004692108776294906
shifted_ou,41,theta,0.7,1.221659352438658,0.5216593524386581,0.5216593524386581,0.27212847998672013
shifted_ou,41,mu0,0.1,0.006259382649712931,-0.09374061735028708,0.09374061735028708,0.008787303341212943
shifted_ou,41,delta,0.6,0.5576170383999232,-0.04238296160007682,0.04238296160007682,0.0017963154339935862
shifted_ou,41,sigma,0.2,0.20978729311466057,0.009787293114660561,0.009787293114660561,9.579110651228203e-05
brownian,42,drift,0.15,0.31879865656860323,0.16879865656860324,0.16879865656860324,0.028492986459365263
brownian,42,sigma,0.3,0.273073725997681,-0.026926274002319006,0.026926274002319006,0.0007250242316479604
ou,42,theta,0.8,0.7500311226873708,-0.04996887731262922,0.04996887731262922,0.0024968886998845913
ou,42,mu,0.2,0.2999682871591829,0.09996828715918288,0.09996828715918288,0.009993658437540848
ou,42,sigma,0.25,0.23780543453223185,-0.012194565467768148,0.012194565467768148,0.00014870742694768338
shifted_ou,42,theta,0.7,1.8363874854351712,1.1363874854351712,1.1363874854351712,1.2913765170536715
shifted_ou,42,mu0,0.1,0.25858384126676265,0.15858384126676264,0.15858384126676264,0.02514883471092177
shifted_ou,42,delta,0.6,0.3736667502393853,-0.2263332497606147,0.2263332497606147,0.05122673994720079
shifted_ou,42,sigma,0.2,0.2122392985473462,0.012239298547346178,0.012239298547346178,0.00014980042893107025
brownian,43,drift,0.15,0.20748643863850713,0.05748643863850714,0.05748643863850714,0.003304690627338846
brownian,43,sigma,0.3,0.2841602974691212,-0.015839702530878796,0.015839702530878796,0.0002508961762667282
ou,43,theta,0.8,0.4951949913071903,-0.30480500869280974,0.30480500869280974,0.09290609332422382
ou,43,mu,0.2,-0.407620634067322,-0.607620634067322,0.607620634067322,0.36920283494437445
ou,43,sigma,0.25,0.1880305340582349,-0.06196946594176511,0.06196946594176511,0.0038402147091075862
shifted_ou,43,theta,0.7,1.51715859727205,0.8171585972720501,0.8171585972720501,0.6677481730956245
shifted_ou,43,mu0,0.1,-0.018632231171870742,-0.11863223117187074,0.11863223117187074,0.01407360627281618
shifted_ou,43,delta,0.6,0.4158269778730039,-0.1841730221269961,0.1841730221269961,0.033919702079391
shifted_ou,43,sigma,0.2,0.25899488804686666,0.058994888046866645,0.058994888046866645,0.003480396815662329
brownian,44,drift,0.15,0.46912330153111403,0.319123301531114,0.319123301531114,0.10183968158011832
brownian,44,sigma,0.3,0.2651993742646118,-0.03480062573538817,0.03480062573538817,0.0012110835515745614
ou,44,theta,0.8,1.132656370421034,0.3326563704210339,0.3326563704210339,0.11066026078169612
ou,44,mu,0.2,0.15716175500560853,-0.04283824499439148,0.04283824499439148,0.001835115234199507
ou,44,sigma,0.25,0.22709500135075741,-0.022904998649242586,0.022904998649242586,0.0005246389631218047
shifted_ou,44,theta,0.7,0.4437852293596372,-0.25621477064036274,0.25621477064036274,0.06564600869429368
shifted_ou,44,mu0,0.1,-0.0725669154944437,-0.1725669154944437,0.1725669154944437,0.02977934032326647
shifted_ou,44,delta,0.6,1.3602321001901188,0.7602321001901188,0.7602321001901188,0.5779528461594788
shifted_ou,44,sigma,0.2,0.2177373411238081,0.017737341123808092,0.017737341123808092,0.00031461327014233373
brownian,45,drift,0.15,0.2712925064457204,0.1212925064457204,0.1212925064457204,0.014711872119885125
brownian,45,sigma,0.3,0.33820823677092815,0.03820823677092816,0.03820823677092816,0.0014598693571433068
ou,45,theta,0.8,1.3442320491496589,0.5442320491496588,0.5442320491496588,0.2961885233216367
ou,45,mu,0.2,0.3095715256402259,0.10957152564022588,0.10957152564022588,0.012005919231126677
ou,45,sigma,0.25,0.20304698505443372,-0.04695301494556628,0.04695301494556628,0.0022045856124785703
shifted_ou,45,theta,0.7,1.3450081272291716,0.6450081272291717,0.6450081272291717,0.4160354841916833
shifted_ou,45,mu0,0.1,0.34479941051453206,0.24479941051453205,0.24479941051453205,0.05992675138826239
shifted_ou,45,delta,0.6,0.3499940387189648,-0.2500059612810352,0.2500059612810352,0.06250298067605446
shifted_ou,45,sigma,0.2,0.21140273592761166,0.011402735927611651,0.011402735927611651,0.00013002238663484554
brownian,46,drift,0.15,0.13259355633467212,-0.01740644366532787,0.01740644366532787,0.00030298428107423275
brownian,46,sigma,0.3,0.2634833698895932,-0.03651663011040679,0.03651663011040679,0.0013334642746202678
ou,46,theta,0.8,1.8390176159779115,1.0390176159779114,1.0390176159779114,1.0795576063124226
ou,46,mu,0.2,0.20665549566901728,0.0066554956690172695,0.0066554956690172695,4.4295622600307635e-05
ou,46,sigma,0.25,0.27328676442536354,0.023286764425363538,0.023286764425363538,0.0005422733974023768
shifted_ou,46,theta,0.7,1.7008521697877588,1.0008521697877588,1.0008521697877588,1.0017050657688649
shifted_ou,46,mu0,0.1,0.05144929009224009,-0.04855070990775991,0.04855070990775991,0.0023571714325474565
shifted_ou,46,delta,0.6,0.6023422586827376,0.00234225868273763,0.00234225868273763,5.486175736859818e-06
shifted_ou,46,sigma,0.2,0.21815690678659466,0.01815690678659465,0.01815690678659465,0.0003296732640570869
brownian,47,drift,0.15,0.13224199307777315,-0.017758006922226843,0.017758006922226843,0.0003153468098498565
brownian,47,sigma,0.3,0.24578682614152844,-0.05421317385847155,0.05421317385847155,0.002939068219808863
ou,47,theta,0.8,1.5900413140967475,0.7900413140967475,0.7900413140967475,0.6241652779797157
ou,47,mu,0.2,0.40717275504227246,0.20717275504227245,0.20717275504227245,0.042920550431805427
ou,47,sigma,0.25,0.2227920976257941,-0.027207902374205895,0.027207902374205895,0.0007402699516043188
shifted_ou,47,theta,0.7,1.2213835827411619,0.5213835827411619,0.5213835827411619,0.27184084035201006
shifted_ou,47,mu0,0.1,-0.08146150103900418,-0.18146150103900419,0.18146150103900419,0.03292827635932852
shifted_ou,47,delta,0.6,0.5462200967289227,-0.05377990327107729,0.05377990327107729,0.0028922779958464296
shifted_ou,47,sigma,0.2,0.16359300577209238,-0.036406994227907635,0.036406994227907635,0.0013254692287109
brownian,48,drift,0.15,0.3067470467595112,0.1567470467595112,0.1567470467595112,0.024569636667828392
brownian,48,sigma,0.3,0.2242907836469929,-0.07570921635300709,0.07570921635300709,0.005731885440786437
ou,48,theta,0.8,1.0028037969382884,0.20280379693828832,0.20280379693828832,0.041129380052586484
ou,48,mu,0.2,0.2192838049103907,0.019283804910390695,0.019283804910390695,0.00037186513182200826
ou,48,sigma,0.25,0.2556310217106384,0.005631021710638395,0.005631021710638395,3.1708405505680956e-05
shifted_ou,48,theta,0.7,3.521369890835107,2.821369890835107,2.821369890835107,7.960128060910902
shifted_ou,48,mu0,0.1,0.12187236799941856,0.02187236799941855,0.02187236799941855,0.0004784004819019887
shifted_ou,48,delta,0.6,0.49351548627249725,-0.10648451372750273,0.10648451372750273,0.011338951663782716
shifted_ou,48,sigma,0.2,0.23914573634201236,0.03914573634201235,0.03914573634201235,0.0015323886737583464
brownian,49,drift,0.15,0.09684047617050942,-0.053159523829490574,0.053159523829490574,0.002825934973778176
brownian,49,sigma,0.3,0.25919855467109,-0.04080144532891,0.04080144532891,0.0016647579409280319
ou,49,theta,0.8,0.4135299318769903,-0.38647006812300977,0.38647006812300977,0.1493591135550038
ou,49,mu,0.2,-0.10744138897217036,-0.3074413889721704,0.3074413889721704,0.09452020765313737
ou,49,sigma,0.25,0.17629000468785525,-0.07370999531214475,0.07370999531214475,0.005433163408916402
shifted_ou,49,theta,0.7,0.560902932681007,-0.13909706731899296,0.13909706731899296,0.01934799413674446
shifted_ou,49,mu0,0.1,0.0347568282773221,-0.0652431717226779,0.0652431717226779,0.004256671456434838
shifted_ou,49,delta,0.6,0.8974664053312007,0.2974664053312007,0.2974664053312007,0.0884862623006662
shifted_ou,49,sigma,0.2,0.17598611012761192,-0.02401388987238809,0.02401388987238809,0.0005766669068031832
brownian,50,drift,0.15,0.13594068783683091,-0.01405931216316908,0.01405931216316908,0.00019766425850143403
brownian,50,sigma,0.3,0.32124336747990784,0.02124336747990785,0.02124336747990785,0.00045128066188640634
ou,50,theta,0.8,0.08861862342929512,-0.7113813765707049,0.7113813765707049,0.5060634629316311
ou,50,mu,0.2,-2.798011235719523,-2.998011235719523,2.998011235719523,8.988071369500501
ou,50,sigma,0.25,0.21415246908063412,-0.03584753091936588,0.03584753091936588,0.0012850454730148925
shifted_ou,50,theta,0.7,0.9019128848200003,0.20191288482000036,0.20191288482000036,0.04076881305633473
shifted_ou,50,mu0,0.1,-0.20192001655532527,-0.3019200165553253,0.3019200165553253,0.0911556963967679
shifted_ou,50,delta,0.6,0.8512629084438763,0.25126290844387633,0.25126290844387633,0.06313304915967578
shifted_ou,50,sigma,0.2,0.20446788230511365,0.004467882305113635,0.004467882305113635,1.996197229234753e-05
brownian,51,drift,0.15,0.05014886732243725,-0.09985113267756274,0.09985113267756274,0.009970248696992237
brownian,51,sigma,0.3,0.22513202540350014,-0.07486797459649985,0.07486797459649985,0.005605213620182147
ou,51,theta,0.8,0.6399055814571448,-0.16009441854285522,0.16009441854285522,0.025630222848574906
ou,51,mu,0.2,0.037855936388955444,-0.16214406361104455,0.16214406361104455,0.02629069736430246
ou,51,sigma,0.25,0.25723417006039756,0.00723417006039756,0.00723417006039756,5.2333216462752435e-05
shifted_ou,51,theta,0.7,1.6630114955087403,0.9630114955087403,0.9630114955087403,0.9273911404819806
shifted_ou,51,mu0,0.1,0.11879103139158798,0.01879103139158797,0.01879103139158797,0.00035310286075964455
shifted_ou,51,delta,0.6,0.5536238830137404,-0.04637611698625954,0.04637611698625954,0.002150744226723231
shifted_ou,51,sigma,0.2,0.24271892035862502,0.04271892035862501,0.04271892035862501,0.0018249061566065466
brownian,52,drift,0.15,0.43508023952845143,0.2850802395284514,0.2850802395284514,0.08127074296959923
brownian,52,sigma,0.3,0.2981388794771416,-0.0018611205228583616,0.0018611205228583616,3.4637696006045812e-06
ou,52,theta,0.8,1.6042295401248374,0.8042295401248374,0.8042295401248374,0.6467851532094074
ou,52,mu,0.2,0.16961476907797035,-0.03038523092202966,0.03038523092202966,0.0009232622581850674
ou,52,sigma,0.25,0.2045288706966655,-0.045471129303334495,0.045471129303334495,0.002067623600120565
shifted_ou,52,theta,0.7,0.6655304744967648,-0.03446952550323512,0.03446952550323512,0.0011881481884181764
shifted_ou,52,mu0,0.1,-0.20608004226185273,-0.3060800422618527,0.3060800422618527,0.09368499227101754
shifted_ou,52,delta,0.6,1.025202061427661,0.4252020614276609,0.4252020614276609,0.18079679304233234
shifted_ou,52,sigma,0.2,0.14171097600481689,-0.058289023995183126,0.058289023995183126,0.0033976103183110343
brownian,53,drift,0.15,0.33697944233962845,0.18697944233962846,0.18697944233962846,0.03496131185763844
brownian,53,sigma,0.3,0.32629822000193665,0.026298220001936656,0.026298220001936656,0.0006915963752702612
ou,53,theta,0.8,1.0501542091546683,0.25015420915466824,0.25015420915466824,0.06257712835779751
ou,53,mu,0.2,0.18669070803011165,-0.013309291969888365,0.013309291969888365,0.0001771372527397349
ou,53,sigma,0.25,0.22364947883498193,-0.02635052116501807,0.02635052116501807,0.0006943499656680653
shifted_ou,53,theta,0.7,4.267604887848599,3.5676048878485984,3.5676048878485984,12.72780463580121
shifted_ou,53,mu0,0.1,0.07443166356243262,-0.025568336437567382,0.025568336437567382,0.0006537398281846359
shifted_ou,53,delta,0.6,0.41746403596544773,-0.18253596403455224,0.18253596403455224,0.03331937816602335
shifted_ou,53,sigma,0.2,0.320629479701485,0.12062947970148497,0.12062947970148497,0.014551471373050974
brownian,54,drift,0.15,0.20303730066579137,0.053037300665791376,0.053037300665791376,0.0028129552619135544
brownian,54,sigma,0.3,0.3632322205735099,0.06323222057350991,0.06323222057350991,0.0039983137186570105
ou,54,theta,0.8,0.7428070939966229,-0.05719290600337712,0.05719290600337712,0.0032710284971111305
ou,54,mu,0.2,0.09540361666053065,-0.10459638333946936,0.10459638333946936,0.010940403407697223
ou,54,sigma,0.25,0.24283356632230477,-0.007166433677695233,0.007166433677695233,5.135777165680442e-05
shifted_ou,54,theta,0.7,0.6262178537046582,-0.07378214629534174,0.07378214629534174,0.005443805111947211
shifted_ou,54,mu0,0.1,-0.19147189859673736,-0.2914718985967374,0.2914718985967374,0.08495586767158676
shifted_ou,54,delta,0.6,0.76853754519869,0.16853754519869002,0.16853754519869002,0.028404904141600483
shifted_ou,54,sigma,0.2,0.12266387498376388,-0.07733612501623613,0.07733612501623613,0.0059808762325269035
brownian,55,drift,0.15,0.15389110321618185,0.003891103216181857,0.003891103216181857,1.5140684238980792e-05
brownian,55,sigma,0.3,0.2472706421994976,-0.05272935780050239,0.05272935780050239,0.0027803851740534026
ou,55,theta,0.8,0.46262510325470035,-0.3373748967452997,0.3373748967452997,0.11382182095390163
ou,55,mu,0.2,-0.1605019056541144,-0.36050190565411444,0.36050190565411444,0.12996162398024802
ou,55,sigma,0.25,0.23999314466609178,-0.010006855333908216,0.010006855333908216,0.00010013715367376731
shifted_ou,55,theta,0.7,0.8567689734761446,0.1567689734761446,0.1567689734761446,0.02457651104476413
shifted_ou,55,mu0,0.1,-0.07606649862406036,-0.17606649862406037,0.17606649862406037,0.030999411937736254
shifted_ou,55,delta,0.6,0.6011341125311825,0.0011341125311825628,0.0011341125311825628,1.2862112333853196e-06
shifted_ou,55,sigma,0.2,0.22551446147558948,0.025514461475589473,0.025514461475589473,0.0006509877443893393
brownian,56,drift,0.15,0.0724786697859394,-0.07752133021406059,0.07752133021406059,0.006009556638157423
brownian,56,sigma,0.3,0.3480358272445071,0.04803582724450711,0.04803582724450711,0.0023074406990641317
ou,56,theta,0.8,2.450220462417557,1.650220462417557,1.650220462417557,2.7232275745816152
ou,56,mu,0.2,0.4742718455246828,0.2742718455246828,0.2742718455246828,0.07522504524751547
ou,56,sigma,0.25,0.3085746140026648,0.05857461400266478,0.05857461400266478,0.0034309854055611733
shifted_ou,56,theta,0.7,0.423292836624151,-0.27670716337584894,0.27670716337584894,0.07656685426350876
shifted_ou,56,mu0,0.1,0.23378918770977192,0.1337891877097719,0.1337891877097719,0.017899546748040583
shifted_ou,56,delta,0.6,0.9399416700181463,0.33994167001814635,0.33994167001814635,0.1155603390147263
shifted_ou,56,sigma,0.2,0.16426373300476105,-0.03573626699523896,0.03573626699523896,0.0012770807787550057
brownian,57,drift,0.15,0.17949950005858525,0.02949950005858526,0.02949950005858526,0.0008702205037064717
brownian,57,sigma,0.3,0.2731323022563341,-0.026867697743665875,0.026867697743665875,0.0007218731820449883
ou,57,theta,0.8,1.2808102548656868,0.48081025486568674,0.48081025486568674,0.23117850118400662
ou,57,mu,0.2,0.41916279969956216,0.21916279969956215,0.21916279969956215,0.048032332772150396
ou,57,sigma,0.25,0.26867838238201663,0.018678382382016634,0.018678382382016634,0.00034888196840882936
shifted_ou,57,theta,0.7,0.4051708906154578,-0.29482910938454215,0.29482910938454215,0.08692420374048232
shifted_ou,57,mu0,0.1,-0.1088930964580403,-0.2088930964580403,0.2088930964580403,0.04363632574782813
shifted_ou,57,delta,0.6,0.5818466172729402,-0.018153382727059797,0.018153382727059797,0.000329545304435113
shifted_ou,57,sigma,0.2,0.12242249214558637,-0.07757750785441364,0.07757750785441364,0.00601826972490161
brownian,58,drift,0.15,0.1753873215583528,0.0253873215583528,0.0253873215583528,0.0006445160959072047
brownian,58,sigma,0.3,0.3148364124046773,0.014836412404677313,0.014836412404677313,0.00022011913304166285
ou,58,theta,0.8,2.2367791039030123,1.4367791039030122,1.4367791039030122,2.0643341934123427
ou,58,mu,0.2,0.23295707304967153,0.03295707304967152,0.03295707304967152,0.001086168664001385
ou,58,sigma,0.25,0.3048111004967335,0.05481110049673349,0.05481110049673349,0.003004256737663018
shifted_ou,58,theta,0.7,1.0409135168369097,0.34091351683690974,0.34091351683690974,0.11622202596210994
shifted_ou,58,mu0,0.1,0.18821391566571002,0.08821391566571002,0.08821391566571002,0.007781694917077
shifted_ou,58,delta,0.6,0.6312445273030189,0.031244527303018965,0.031244527303018965,0.0009762204863890976
shifted_ou,58,sigma,0.2,0.10740690488547223,-0.09259309511452778,0.09259309511452778,0.008573481262887988
brownian,59,drift,0.15,0.07896937063213443,-0.07103062936786557,0.07103062936786557,0.005045350308395087
brownian,59,sigma,0.3,0.3134549175846437,0.013454917584643733,0.013454917584643733,0.00018103480720955514
ou,59,theta,0.8,1.470071357197442,0.6700713571974419,0.6700713571974419,0.4489956237364218
ou,59,mu,0.2,0.4723550027757209,0.2723550027757209,0.2723550027757209,0.07417724753696293
ou,59,sigma,0.25,0.26177261727199813,0.011772617271998131,0.011772617271998131,0.00013859451743294872
shifted_ou,59,theta,0.7,2.5304229250455474,1.8304229250455475,1.8304229250455475,3.350448084532298
shifted_ou,59,mu0,0.1,-0.06377382556449039,-0.16377382556449038,0.16377382556449038,0.026821865940028125
shifted_ou,59,delta,0.6,0.6901898639550725,0.09018986395507256,0.09018986395507256,0.008134211560234497
shifted_ou,59,sigma,0.2,0.2062914985175126,0.006291498517512595,0.006291498517512595,3.958295359586318e-05
