branch_id_start,n_intervals,n_switch,n_stable,switch_fraction,mean_jump_score,median_jump_score,mean_displacement_hd,median_displacement_hd,tail_fraction_dx_rel_q90,mean_jump_score_z,mean_displacement_hd_z
HSC-like basin,6,4,2,0.6666666666666666,0.16795279986538483,-0.23102947752491254,0.3886875012673842,0.30720239435880814,0.0,-0.4034233592382868,-0.5370055833853878
Progenitor-like basin,5,1,4,0.2,-0.46183372285984525,-0.5287476303738602,0.2863426934355079,0.2932658893728431,0.0,-1.2511802763248017,-1.1855518933743958
GMP-like basin,3,3,0,1.0,1.5813974326164726,1.700052581012562,0.7105445445759521,0.7411754959361551,0.6666666666666666,1.4992173310521466,1.50256244359888
Mono/DC-like basin,7,4,3,0.5714285714285714,0.5830845291438219,0.6745,0.5081471010457799,0.605503544370373,0.0,0.15538630451094157,0.21999503316090488
