branch_id_dominant,state_HSC_mean,state_Prog_mean,state_GMP_mean,state_MonoDC_mean,aux_EryBaso_mean,aux_CLP_mean,theta_eff_mean,sigma_eff_mean,mu_shift_from_dx_mean,n_samples,state_HSC_z,state_Prog_z,state_GMP_z,state_MonoDC_z,aux_EryBaso_z,aux_CLP_z,theta_eff_mean_z,sigma_eff_mean_z,mu_shift_from_dx_mean_z
HSC-like basin,0.4323006046653128,0.2574568830840758,0.15546336796042623,0.15477914429018505,0.06583704790163684,0.05742379610324227,0.4323006046653128,0.8612640654430973,0.32787147797806415,14,1.7251594830861448,-0.2920361919407686,-0.5413463872640376,-0.4329076507125684,0.37415838536047424,1.5205247226713263,-0.8934798694486709,0.7826389684910035,-0.5424134610890394
Progenitor-like basin,0.17583881553837882,0.6570764110973909,0.12455390441650567,0.042530868947724544,0.07045921245145609,0.033273803064297225,0.6570764110973909,0.5871452629132066,0.5237961911571394,15,-0.45416776002183196,1.7061440673502593,-0.7731651814538606,-1.1037999674237904,0.6482313878990075,0.23304777157159035,1.6718867493599094,-1.714782727563045,1.64483703878833
GMP-like basin,0.16275728618132157,0.16558386687424856,0.456549916788016,0.21510893015641383,0.0712736235761998,0.008342421256641268,0.456549916788016,0.8352122734643448,0.36677210620097966,3,-0.5653302587566488,-0.7514202672502333,1.7167814704650004,-0.07232491852358096,0.6965222048644103,-1.0960863356168107,-0.6167224335123842,0.5452881924466321,-0.1081373703115194
Mono/DC-like basin,0.14624320269075416,0.18332966492246044,0.17400707393528464,0.49642005845150067,0.030538001498791944,0.016569513176351316,0.49642005845150067,0.8178225944444186,0.28739461526070115,11,-0.7056614643076652,-0.6626876081592572,-0.40226990174710275,1.60903253665994,-1.7189119781238915,-0.6574861586261065,-0.1616844463988563,0.3868555666254105,-0.9942862073877704
